isBest	lncRNA_gene	lncRNA_transcript	partnerRNA_gene	partnerRNA_transcript	direction	type	distance	subtype	location
1	MSTRG.56228	MSTRG.56228.1	SoffiXsponR570.03Cg214500.v2.1	SoffiXsponR570.03Cg214500.1.v2.1	antisense	intergenic	15164	divergent	upstream
0	MSTRG.56228	MSTRG.56228.1	SoffiXsponR570.03Cg214600.v2.1	SoffiXsponR570.03Cg214600.1.v2.1	antisense	intergenic	18635	divergent	upstream
1	MSTRG.106104	MSTRG.106104.1	SoffiXsponR570.6_9Ag125100.v2.1	SoffiXsponR570.6_9Ag125100.2.v2.1	sense	intergenic	1679	same_strand	upstream
0	MSTRG.106104	MSTRG.106104.1	SoffiXsponR570.6_9Ag125200.v2.1	SoffiXsponR570.6_9Ag125200.3.v2.1	antisense	intergenic	5801	divergent	upstream
0	MSTRG.106104	MSTRG.106104.1	SoffiXsponR570.6_9Ag125200.v2.1	SoffiXsponR570.6_9Ag125200.6.v2.1	antisense	intergenic	5602	divergent	upstream
0	MSTRG.106104	MSTRG.106104.1	SoffiXsponR570.6_9Ag125200.v2.1	SoffiXsponR570.6_9Ag125200.7.v2.1	antisense	intergenic	5602	divergent	upstream
0	MSTRG.106104	MSTRG.106104.1	SoffiXsponR570.6_9Ag125200.v2.1	SoffiXsponR570.6_9Ag125200.5.v2.1	antisense	intergenic	5574	divergent	upstream
0	MSTRG.106104	MSTRG.106104.1	SoffiXsponR570.6_9Ag125200.v2.1	SoffiXsponR570.6_9Ag125200.2.v2.1	antisense	intergenic	5547	divergent	upstream
0	MSTRG.106104	MSTRG.106104.1	SoffiXsponR570.6_9Ag125200.v2.1	SoffiXsponR570.6_9Ag125200.1.v2.1	antisense	intergenic	5801	divergent	upstream
0	MSTRG.106104	MSTRG.106104.1	SoffiXsponR570.6_9Ag125200.v2.1	SoffiXsponR570.6_9Ag125200.4.v2.1	antisense	intergenic	5574	divergent	upstream
0	MSTRG.106104	MSTRG.106104.1	SoffiXsponR570.6_9Ag125100.v2.1	SoffiXsponR570.6_9Ag125100.1.v2.1	sense	intergenic	1679	same_strand	upstream
1	MSTRG.117926	MSTRG.117926.1	SoffiXsponR570.7_10Ag066200.v2.1	SoffiXsponR570.7_10Ag066200.1.v2.1	strand_unknow	intergenic	22523	unknow strand(s)	upstream
0	MSTRG.117926	MSTRG.117926.1	SoffiXsponR570.7_10Ag066100.v2.1	SoffiXsponR570.7_10Ag066100.1.v2.1	strand_unknow	intergenic	25602	unknow strand(s)	upstream
1	MSTRG.18246	MSTRG.18246.1	SoffiXsponR570.01Cg220500.v2.1	SoffiXsponR570.01Cg220500.1.v2.1	antisense	genic	0	overlapping	exonic
0	MSTRG.18246	MSTRG.18246.1	SoffiXsponR570.01Cg220200.v2.1	SoffiXsponR570.01Cg220200.1.v2.1	antisense	intergenic	8014	divergent	upstream
0	MSTRG.18246	MSTRG.18246.1	SoffiXsponR570.01Cg220300.v2.1	SoffiXsponR570.01Cg220300.1.v2.1	antisense	intergenic	941	divergent	upstream
0	MSTRG.18246	MSTRG.18246.1	SoffiXsponR570.01Cg220400.v2.1	SoffiXsponR570.01Cg220400.1.v2.1	antisense	genic	0	containing	intronic
0	MSTRG.18246	MSTRG.18246.1	SoffiXsponR570.01Cg220600.v2.1	SoffiXsponR570.01Cg220600.1.v2.1	sense	intergenic	7109	same_strand	upstream
1	MSTRG.134806	MSTRG.134806.4	SoffiXsponR570.09Bg156300.v2.1	SoffiXsponR570.09Bg156300.1.v2.1	antisense	genic	0	nested	intronic
0	MSTRG.134806	MSTRG.134806.4	SoffiXsponR570.09Bg156400.v2.1	SoffiXsponR570.09Bg156400.1.v2.1	sense	intergenic	1780	same_strand	upstream
1	MSTRG.109708	MSTRG.109708.4	SoffiXsponR570.07Ag254300.v2.1	SoffiXsponR570.07Ag254300.1.v2.1	antisense	intergenic	3636	divergent	upstream
0	MSTRG.109708	MSTRG.109708.4	SoffiXsponR570.07Ag254400.v2.1	SoffiXsponR570.07Ag254400.1.v2.1	antisense	intergenic	8676	divergent	upstream
0	MSTRG.109708	MSTRG.109708.4	SoffiXsponR570.07Ag254400.v2.1	SoffiXsponR570.07Ag254400.2.v2.1	antisense	intergenic	8749	divergent	upstream
0	MSTRG.109708	MSTRG.109708.4	SoffiXsponR570.07Ag254200.v2.1	SoffiXsponR570.07Ag254200.1.v2.1	antisense	intergenic	5082	convergent	downstream
1	MSTRG.101459	MSTRG.101459.1	SoffiXsponR570.06Dg150200.v2.1	SoffiXsponR570.06Dg150200.1.v2.1	antisense	genic	0	nested	intronic
0	MSTRG.101459	MSTRG.101459.1	SoffiXsponR570.06Dg150300.v2.1	SoffiXsponR570.06Dg150300.1.v2.1	sense	intergenic	4635	same_strand	upstream
0	MSTRG.101459	MSTRG.101459.1	SoffiXsponR570.06Dg150100.v2.1	SoffiXsponR570.06Dg150100.1.v2.1	antisense	intergenic	7107	divergent	upstream
1	MSTRG.135268	MSTRG.135268.1	SoffiXsponR570.09Cg054400.v2.1	SoffiXsponR570.09Cg054400.1.v2.1	sense	intergenic	4690	same_strand	upstream
0	MSTRG.135268	MSTRG.135268.1	SoffiXsponR570.09Cg054400.v2.1	SoffiXsponR570.09Cg054400.2.v2.1	sense	intergenic	4696	same_strand	upstream
1	MSTRG.60719	MSTRG.60719.2	SoffiXsponR570.03Eg098600.v2.1	SoffiXsponR570.03Eg098600.1.v2.1	sense	intergenic	8918	same_strand	downstream
0	MSTRG.60719	MSTRG.60719.2	SoffiXsponR570.03Eg098700.v2.1	SoffiXsponR570.03Eg098700.1.v2.1	sense	intergenic	9284	same_strand	upstream
1	MSTRG.123483	MSTRG.123483.3	SoffiXsponR570.08Bg121100.v2.1	SoffiXsponR570.08Bg121100.2.v2.1	antisense	intergenic	46097	divergent	upstream
0	MSTRG.123483	MSTRG.123483.3	SoffiXsponR570.08Bg121100.v2.1	SoffiXsponR570.08Bg121100.1.v2.1	antisense	intergenic	46097	divergent	upstream
1	MSTRG.2172	MSTRG.2172.2	SoffiXsponR570.10Bg081700.v2.1	SoffiXsponR570.10Bg081700.1.v2.1	antisense	intergenic	75950	divergent	upstream
1	MSTRG.92923	MSTRG.92923.13	SoffiXsponR570.05Gg182400.v2.1	SoffiXsponR570.05Gg182400.1.v2.1	sense	intergenic	388	same_strand	upstream
0	MSTRG.92923	MSTRG.92923.13	SoffiXsponR570.05Gg182600.v2.1	SoffiXsponR570.05Gg182600.1.v2.1	sense	intergenic	8547	same_strand	downstream
0	MSTRG.92923	MSTRG.92923.13	SoffiXsponR570.05Gg182500.v2.1	SoffiXsponR570.05Gg182500.5.v2.1	antisense	intergenic	803	divergent	upstream
0	MSTRG.92923	MSTRG.92923.13	SoffiXsponR570.05Gg182500.v2.1	SoffiXsponR570.05Gg182500.4.v2.1	antisense	intergenic	647	divergent	upstream
0	MSTRG.92923	MSTRG.92923.13	SoffiXsponR570.05Gg182500.v2.1	SoffiXsponR570.05Gg182500.3.v2.1	antisense	intergenic	603	divergent	upstream
0	MSTRG.92923	MSTRG.92923.13	SoffiXsponR570.05Gg182500.v2.1	SoffiXsponR570.05Gg182500.2.v2.1	antisense	intergenic	592	divergent	upstream
0	MSTRG.92923	MSTRG.92923.13	SoffiXsponR570.05Gg182500.v2.1	SoffiXsponR570.05Gg182500.1.v2.1	antisense	intergenic	491	divergent	upstream
0	MSTRG.92923	MSTRG.92923.13	SoffiXsponR570.05Gg182300.v2.1	SoffiXsponR570.05Gg182300.1.v2.1	sense	intergenic	6118	same_strand	upstream
1	MSTRG.80998	MSTRG.80998.1	SoffiXsponR570.05Bg324700.v2.1	SoffiXsponR570.05Bg324700.1.v2.1	antisense	genic	0	overlapping	exonic
0	MSTRG.80998	MSTRG.80998.1	SoffiXsponR570.05Bg324600.v2.1	SoffiXsponR570.05Bg324600.2.v2.1	antisense	intergenic	6565	divergent	upstream
0	MSTRG.80998	MSTRG.80998.1	SoffiXsponR570.05Bg324600.v2.1	SoffiXsponR570.05Bg324600.1.v2.1	antisense	genic	0	overlapping	exonic
0	MSTRG.80998	MSTRG.80998.1	SoffiXsponR570.05Bg324800.v2.1	SoffiXsponR570.05Bg324800.1.v2.1	antisense	intergenic	8379	convergent	downstream
1	MSTRG.5762	MSTRG.5762.1	SoffiXsponR570.10Eg026900.v2.1	SoffiXsponR570.10Eg026900.1.v2.1	strand_unknow	intergenic	3080	unknow strand(s)	downstream
1	MSTRG.79040	MSTRG.79040.2	SoffiXsponR570.05Bg040100.v2.1	SoffiXsponR570.05Bg040100.1.v2.1	sense	intergenic	8058	same_strand	upstream
0	MSTRG.79040	MSTRG.79040.2	SoffiXsponR570.05Bg040100.v2.1	SoffiXsponR570.05Bg040100.2.v2.1	sense	intergenic	8060	same_strand	upstream
1	MSTRG.58441	MSTRG.58441.3	SoffiXsponR570.03Dg164600.v2.1	SoffiXsponR570.03Dg164600.1.v2.1	sense	intergenic	810	same_strand	downstream
0	MSTRG.58441	MSTRG.58441.3	SoffiXsponR570.03Dg164800.v2.1	SoffiXsponR570.03Dg164800.1.v2.1	sense	intergenic	8547	same_strand	downstream
0	MSTRG.58441	MSTRG.58441.3	SoffiXsponR570.03Dg164700.v2.1	SoffiXsponR570.03Dg164700.1.v2.1	sense	intergenic	6609	same_strand	downstream
1	MSTRG.20314	MSTRG.20314.42	SoffiXsponR570.01Dg077800.v2.1	SoffiXsponR570.01Dg077800.1.v2.1	sense	intergenic	1688	same_strand	downstream
0	MSTRG.20314	MSTRG.20314.42	SoffiXsponR570.01Dg077700.v2.1	SoffiXsponR570.01Dg077700.2.v2.1	sense	intergenic	2420	same_strand	upstream
0	MSTRG.20314	MSTRG.20314.42	SoffiXsponR570.01Dg077900.v2.1	SoffiXsponR570.01Dg077900.1.v2.1	antisense	intergenic	5317	divergent	upstream
0	MSTRG.20314	MSTRG.20314.42	SoffiXsponR570.01Dg077700.v2.1	SoffiXsponR570.01Dg077700.1.v2.1	sense	intergenic	2408	same_strand	upstream
0	MSTRG.20314	MSTRG.20314.42	SoffiXsponR570.01Dg077900.v2.1	SoffiXsponR570.01Dg077900.3.v2.1	antisense	intergenic	5354	divergent	upstream
0	MSTRG.20314	MSTRG.20314.42	SoffiXsponR570.01Dg077900.v2.1	SoffiXsponR570.01Dg077900.2.v2.1	antisense	intergenic	3856	divergent	upstream
1	MSTRG.98098	MSTRG.98098.11	SoffiXsponR570.06Ag188300.v2.1	SoffiXsponR570.06Ag188300.1.v2.1	antisense	intergenic	19880	divergent	upstream
1	MSTRG.88025	MSTRG.88025.2	SoffiXsponR570.05Eg165600.v2.1	SoffiXsponR570.05Eg165600.2.v2.1	antisense	genic	0	containing	exonic
0	MSTRG.88025	MSTRG.88025.2	SoffiXsponR570.05Eg165600.v2.1	SoffiXsponR570.05Eg165600.1.v2.1	antisense	genic	0	containing	exonic
0	MSTRG.88025	MSTRG.88025.2	SoffiXsponR570.05Eg165500.v2.1	SoffiXsponR570.05Eg165500.1.v2.1	antisense	intergenic	7182	divergent	upstream
0	MSTRG.88025	MSTRG.88025.2	SoffiXsponR570.05Eg165700.v2.1	SoffiXsponR570.05Eg165700.1.v2.1	antisense	intergenic	2957	convergent	downstream
1	MSTRG.127082	MSTRG.127082.1	SoffiXsponR570.08Eg043900.v2.1	SoffiXsponR570.08Eg043900.1.v2.1	sense	intergenic	1160	same_strand	upstream
0	MSTRG.127082	MSTRG.127082.1	SoffiXsponR570.08Eg044000.v2.1	SoffiXsponR570.08Eg044000.1.v2.1	sense	intergenic	5619	same_strand	upstream
0	MSTRG.127082	MSTRG.127082.1	SoffiXsponR570.08Eg043800.v2.1	SoffiXsponR570.08Eg043800.1.v2.1	sense	intergenic	6043	same_strand	downstream
1	MSTRG.103138	MSTRG.103138.1	SoffiXsponR570.06Fg052700.v2.1	SoffiXsponR570.06Fg052700.1.v2.1	antisense	intergenic	19566	divergent	upstream
1	MSTRG.126573	MSTRG.126573.1	SoffiXsponR570.08Dg150800.v2.1	SoffiXsponR570.08Dg150800.1.v2.1	antisense	intergenic	3681	divergent	upstream
1	MSTRG.76153	MSTRG.76153.1	SoffiXsponR570.05Ag007400.v2.1	SoffiXsponR570.05Ag007400.1.v2.1	antisense	genic	0	nested	intronic
0	MSTRG.76153	MSTRG.76153.1	SoffiXsponR570.05Ag007500.v2.1	SoffiXsponR570.05Ag007500.1.v2.1	antisense	intergenic	952	convergent	downstream
0	MSTRG.76153	MSTRG.76153.1	SoffiXsponR570.05Ag007300.v2.1	SoffiXsponR570.05Ag007300.1.v2.1	sense	intergenic	2865	same_strand	downstream
1	MSTRG.7346	MSTRG.7346.1	SoffiXsponR570.10Fg125300.v2.1	SoffiXsponR570.10Fg125300.1.v2.1	antisense	intergenic	4711	convergent	downstream
1	MSTRG.95513	MSTRG.95513.1	SoffiXsponR570.5_9Ag339700.v2.1	SoffiXsponR570.5_9Ag339700.1.v2.1	strand_unknow	intergenic	4835	unknow strand(s)	downstream
1	MSTRG.16593	MSTRG.16593.1	SoffiXsponR570.01Cg009100.v2.1	SoffiXsponR570.01Cg009100.2.v2.1	antisense	genic	0	overlapping	exonic
0	MSTRG.16593	MSTRG.16593.1	SoffiXsponR570.01Cg009100.v2.1	SoffiXsponR570.01Cg009100.3.v2.1	antisense	genic	0	overlapping	exonic
0	MSTRG.16593	MSTRG.16593.1	SoffiXsponR570.01Cg009100.v2.1	SoffiXsponR570.01Cg009100.1.v2.1	antisense	genic	0	overlapping	exonic
0	MSTRG.16593	MSTRG.16593.1	SoffiXsponR570.01Cg009100.v2.1	SoffiXsponR570.01Cg009100.4.v2.1	antisense	genic	0	overlapping	exonic
0	MSTRG.16593	MSTRG.16593.1	SoffiXsponR570.01Cg009300.v2.1	SoffiXsponR570.01Cg009300.1.v2.1	antisense	intergenic	2567	divergent	upstream
0	MSTRG.16593	MSTRG.16593.1	SoffiXsponR570.01Cg009400.v2.1	SoffiXsponR570.01Cg009400.1.v2.1	antisense	intergenic	5196	divergent	upstream
0	MSTRG.16593	MSTRG.16593.1	SoffiXsponR570.01Cg009200.v2.1	SoffiXsponR570.01Cg009200.1.v2.1	sense	intergenic	664	same_strand	downstream
1	MSTRG.34331	MSTRG.34331.11	SoffiXsponR570.02Bg331700.v2.1	SoffiXsponR570.02Bg331700.1.v2.1	antisense	intergenic	20285	convergent	downstream
0	MSTRG.34331	MSTRG.34331.11	SoffiXsponR570.02Bg331800.v2.1	SoffiXsponR570.02Bg331800.1.v2.1	antisense	intergenic	25583	divergent	upstream
1	MSTRG.131968	MSTRG.131968.3	SoffiXsponR570.8_5Ag206500.v2.1	SoffiXsponR570.8_5Ag206500.1.v2.1	sense	intergenic	3158	same_strand	downstream
0	MSTRG.131968	MSTRG.131968.3	SoffiXsponR570.8_5Ag206600.v2.1	SoffiXsponR570.8_5Ag206600.1.v2.1	sense	intergenic	4071	same_strand	upstream
0	MSTRG.131968	MSTRG.131968.3	SoffiXsponR570.8_5Ag206700.v2.1	SoffiXsponR570.8_5Ag206700.1.v2.1	sense	intergenic	9420	same_strand	upstream
1	MSTRG.39190	MSTRG.39190.1	SoffiXsponR570.02Dg140500.v2.1	SoffiXsponR570.02Dg140500.1.v2.1	sense	intergenic	3145	same_strand	upstream
1	MSTRG.81027	MSTRG.81027.1	SoffiXsponR570.05Bg327700.v2.1	SoffiXsponR570.05Bg327700.1.v2.1	antisense	genic	0	nested	exonic
0	MSTRG.81027	MSTRG.81027.1	SoffiXsponR570.05Bg327800.v2.1	SoffiXsponR570.05Bg327800.2.v2.1	sense	intergenic	964	same_strand	downstream
0	MSTRG.81027	MSTRG.81027.1	SoffiXsponR570.05Bg327800.v2.1	SoffiXsponR570.05Bg327800.1.v2.1	sense	intergenic	963	same_strand	downstream
0	MSTRG.81027	MSTRG.81027.1	SoffiXsponR570.05Bg327900.v2.1	SoffiXsponR570.05Bg327900.1.v2.1	sense	intergenic	6055	same_strand	downstream
1	MSTRG.91117	MSTRG.91117.3	SoffiXsponR570.05Fg258400.v2.1	SoffiXsponR570.05Fg258400.1.v2.1	sense	intergenic	1830	same_strand	downstream
1	MSTRG.125872	MSTRG.125872.2	SoffiXsponR570.08Dg049000.v2.1	SoffiXsponR570.08Dg049000.1.v2.1	antisense	intergenic	4226	divergent	upstream
0	MSTRG.125872	MSTRG.125872.2	SoffiXsponR570.08Dg049100.v2.1	SoffiXsponR570.08Dg049100.1.v2.1	antisense	intergenic	9300	divergent	upstream
1	MSTRG.3538	MSTRG.3538.2	SoffiXsponR570.10Cg078200.v2.1	SoffiXsponR570.10Cg078200.1.v2.1	antisense	intergenic	10802	convergent	downstream
0	MSTRG.3538	MSTRG.3538.2	SoffiXsponR570.10Cg078100.v2.1	SoffiXsponR570.10Cg078100.2.v2.1	sense	intergenic	18375	same_strand	upstream
0	MSTRG.3538	MSTRG.3538.2	SoffiXsponR570.10Cg078100.v2.1	SoffiXsponR570.10Cg078100.5.v2.1	sense	intergenic	18375	same_strand	upstream
0	MSTRG.3538	MSTRG.3538.2	SoffiXsponR570.10Cg078100.v2.1	SoffiXsponR570.10Cg078100.4.v2.1	sense	intergenic	18375	same_strand	upstream
0	MSTRG.3538	MSTRG.3538.2	SoffiXsponR570.10Cg078100.v2.1	SoffiXsponR570.10Cg078100.3.v2.1	sense	intergenic	18375	same_strand	upstream
0	MSTRG.3538	MSTRG.3538.2	SoffiXsponR570.10Cg078100.v2.1	SoffiXsponR570.10Cg078100.6.v2.1	sense	intergenic	18375	same_strand	upstream
0	MSTRG.3538	MSTRG.3538.2	SoffiXsponR570.10Cg078100.v2.1	SoffiXsponR570.10Cg078100.1.v2.1	sense	intergenic	18375	same_strand	upstream
1	MSTRG.114401	MSTRG.114401.1	SoffiXsponR570.07Dg062200.v2.1	SoffiXsponR570.07Dg062200.1.v2.1	antisense	intergenic	1217	convergent	downstream
0	MSTRG.114401	MSTRG.114401.1	SoffiXsponR570.07Dg062300.v2.1	SoffiXsponR570.07Dg062300.1.v2.1	antisense	intergenic	3454	divergent	upstream
1	MSTRG.48633	MSTRG.48633.6	SoffiXsponR570.02Gg222000.v2.1	SoffiXsponR570.02Gg222000.1.v2.1	sense	intergenic	3535	same_strand	upstream
0	MSTRG.48633	MSTRG.48633.6	SoffiXsponR570.02Gg221900.v2.1	SoffiXsponR570.02Gg221900.2.v2.1	antisense	intergenic	6734	divergent	upstream
0	MSTRG.48633	MSTRG.48633.6	SoffiXsponR570.02Gg221800.v2.1	SoffiXsponR570.02Gg221800.1.v2.1	sense	intergenic	9299	same_strand	downstream
0	MSTRG.48633	MSTRG.48633.6	SoffiXsponR570.02Gg222000.v2.1	SoffiXsponR570.02Gg222000.2.v2.1	sense	intergenic	3750	same_strand	upstream
0	MSTRG.48633	MSTRG.48633.6	SoffiXsponR570.02Gg222000.v2.1	SoffiXsponR570.02Gg222000.3.v2.1	sense	intergenic	4143	same_strand	upstream
0	MSTRG.48633	MSTRG.48633.6	SoffiXsponR570.02Gg222100.v2.1	SoffiXsponR570.02Gg222100.2.v2.1	sense	intergenic	6359	same_strand	upstream
0	MSTRG.48633	MSTRG.48633.6	SoffiXsponR570.02Gg221900.v2.1	SoffiXsponR570.02Gg221900.1.v2.1	antisense	intergenic	6672	divergent	upstream
0	MSTRG.48633	MSTRG.48633.6	SoffiXsponR570.02Gg222100.v2.1	SoffiXsponR570.02Gg222100.1.v2.1	sense	intergenic	6200	same_strand	upstream
1	MSTRG.43148	MSTRG.43148.8	SoffiXsponR570.02Eg255500.v2.1	SoffiXsponR570.02Eg255500.1.v2.1	antisense	intergenic	362	convergent	downstream
0	MSTRG.43148	MSTRG.43148.8	SoffiXsponR570.02Eg255300.v2.1	SoffiXsponR570.02Eg255300.3.v2.1	sense	intergenic	7622	same_strand	upstream
0	MSTRG.43148	MSTRG.43148.8	SoffiXsponR570.02Eg255400.v2.1	SoffiXsponR570.02Eg255400.4.v2.1	sense	intergenic	3348	same_strand	upstream
0	MSTRG.43148	MSTRG.43148.8	SoffiXsponR570.02Eg255400.v2.1	SoffiXsponR570.02Eg255400.1.v2.1	sense	intergenic	3097	same_strand	upstream
0	MSTRG.43148	MSTRG.43148.8	SoffiXsponR570.02Eg255300.v2.1	SoffiXsponR570.02Eg255300.1.v2.1	sense	intergenic	7563	same_strand	upstream
0	MSTRG.43148	MSTRG.43148.8	SoffiXsponR570.02Eg255400.v2.1	SoffiXsponR570.02Eg255400.2.v2.1	sense	intergenic	3097	same_strand	upstream
0	MSTRG.43148	MSTRG.43148.8	SoffiXsponR570.02Eg255400.v2.1	SoffiXsponR570.02Eg255400.3.v2.1	sense	intergenic	3097	same_strand	upstream
0	MSTRG.43148	MSTRG.43148.8	SoffiXsponR570.02Eg255300.v2.1	SoffiXsponR570.02Eg255300.2.v2.1	sense	intergenic	7577	same_strand	upstream
1	MSTRG.101655	MSTRG.101655.9	SoffiXsponR570.06Eg009000.v2.1	SoffiXsponR570.06Eg009000.2.v2.1	antisense	intergenic	801	convergent	downstream
0	MSTRG.101655	MSTRG.101655.9	SoffiXsponR570.06Eg009000.v2.1	SoffiXsponR570.06Eg009000.3.v2.1	antisense	intergenic	805	convergent	downstream
0	MSTRG.101655	MSTRG.101655.9	SoffiXsponR570.06Eg009000.v2.1	SoffiXsponR570.06Eg009000.4.v2.1	antisense	intergenic	857	convergent	downstream
0	MSTRG.101655	MSTRG.101655.9	SoffiXsponR570.06Eg008900.v2.1	SoffiXsponR570.06Eg008900.1.v2.1	sense	intergenic	4043	same_strand	downstream
0	MSTRG.101655	MSTRG.101655.9	SoffiXsponR570.06Eg009000.v2.1	SoffiXsponR570.06Eg009000.1.v2.1	antisense	intergenic	886	convergent	downstream
1	MSTRG.5312	MSTRG.5312.1	SoffiXsponR570.10Dg146000.v2.1	SoffiXsponR570.10Dg146000.1.v2.1	sense	intergenic	5625	same_strand	downstream
1	MSTRG.71404	MSTRG.71404.2	SoffiXsponR570.04Dg033500.v2.1	SoffiXsponR570.04Dg033500.1.v2.1	antisense	intergenic	19869	convergent	downstream
1	MSTRG.140572	MSTRG.140572.6	SoffiXsponR570.6us88g113500.v2.1	SoffiXsponR570.6us88g113500.1.v2.1	antisense	genic	0	overlapping	exonic
1	MSTRG.45437	MSTRG.45437.3	SoffiXsponR570.02Fg154000.v2.1	SoffiXsponR570.02Fg154000.1.v2.1	sense	intergenic	11686	same_strand	upstream
1	MSTRG.11009	MSTRG.11009.26	SoffiXsponR570.01Ag391200.v2.1	SoffiXsponR570.01Ag391200.1.v2.1	sense	intergenic	5793	same_strand	downstream
0	MSTRG.11009	MSTRG.11009.26	SoffiXsponR570.01Ag391000.v2.1	SoffiXsponR570.01Ag391000.1.v2.1	sense	intergenic	9967	same_strand	downstream
