name	kmerScore_1mer	kmerScore_2mer	kmerScore_3mer	kmerScore_6mer	kmerScore_9mer	kmerScore_12mer	ORF_cover	RNA_size	coding_potential	label
MSTRG.100309.1	0.501088	0.502855	0.505742	0.504751	0.512666	0.449779	0.550724637681159	828	0.56	1
MSTRG.100317.1	0.496714	0.493469	0.492567	0.514143	0.555833	0.420125	0.407079646017699	339	0.178	0
MSTRG.100318.1	0.491222	0.482769	0.477396	0.468493	0.490683	0.459284	0.365671641791045	402	0.112	0
MSTRG.100333.1	0.513072	0.528104	0.564458	0.613726	0.658426	0.608563	0.993865030674847	489	0.78	1
MSTRG.10034.1	0.496331	0.496711	0.488945	0.495485	0.501031	0.338042	0.109090909090909	1265	0	0
MSTRG.100363.1	0.493288	0.486699	0.477947	0.457632	0.481784	0.388318	0.137957911145752	1283	0	0
MSTRG.100365.1	0.519364	0.539656	0.554389	0.589157	0.607241	0.450342	0.34304932735426	1338	0.14	0
MSTRG.100365.2	0.519364	0.539656	0.554389	0.589157	0.607241	0.450342	0.308467741935484	1488	0.074	0
MSTRG.100377.1	0.498314	0.491513	0.483429	0.45962	0.440948	0.244922	0.253623188405797	1242	0.008	0
MSTRG.100383.1	0.512066	0.525522	0.54248	0.55652	0.578631	0.53487	0.531578947368421	570	0.596	1
MSTRG.100383.2	0.513117	0.527409	0.547517	0.56767	0.59844	0.556178	0.708333333333333	360	0.398	0
MSTRG.100392.1	0.493323	0.48693	0.498697	0.518973	0.556239	0.667805	0.495588235294118	2040	0.986	1
MSTRG.100392.2	0.492554	0.484706	0.500673	0.519488	0.562115	0.666495	0.287727272727273	2200	0.65	1
MSTRG.100392.3	0.49284	0.485237	0.500312	0.519815	0.563661	0.669784	0.286516853932584	2136	0.724	1
MSTRG.100392.4	0.493239	0.486508	0.504414	0.521853	0.561051	0.668295	0.720071471113758	1679	0.954	1
MSTRG.100392.5	0.493274	0.486353	0.502869	0.521858	0.566339	0.669928	0.340042372881356	1888	0.906	1
MSTRG.100392.6	0.49284	0.485237	0.500312	0.519815	0.563661	0.669784	0.351522113727743	1741	0.748	1
MSTRG.100392.7	0.493528	0.486772	0.500627	0.518953	0.561365	0.660778	0.356275303643725	1482	0.884	1
MSTRG.100393.1	0.494495	0.488006	0.484782	0.480965	0.498305	0.492186	0.865116279069767	215	0.188	0
MSTRG.1004.1	0.495098	0.485318	0.483472	0.48479	0.51023	0.419984	0.28	450	0.098	0
MSTRG.100401.1	0.496215	0.490961	0.502804	0.507334	0.487687	0.307521	0.919014084507042	284	0.01	0
MSTRG.100404.1	0.495217	0.492424	0.492396	0.491013	0.505205	0.636357	0.464516129032258	620	0.92	1
MSTRG.100405.1	0.495324	0.490504	0.494091	0.496842	0.51643	0.417488	0.465727699530516	3195	0.602	1
MSTRG.100405.2	0.494932	0.4896	0.493693	0.495761	0.515129	0.414783	0.486253196930946	3128	0.524	1
MSTRG.100405.3	0.495324	0.490504	0.494091	0.496842	0.51643	0.417488	0.490441661173369	3034	0.604	1
MSTRG.100405.4	0.497486	0.495851	0.49918	0.504762	0.523979	0.454282	0.406626506024096	2324	0.768	1
MSTRG.100408.1	0.517173	0.534962	0.537945	0.551618	0.556045	0.384222	0.372623574144487	789	0.076	0
MSTRG.100408.2	0.517173	0.534962	0.537945	0.551618	0.556045	0.384222	0.378865979381443	776	0.082	0
MSTRG.100415.1	0.505219	0.51142	0.52031	0.526212	0.540086	0.422624	0.120678818353237	1591	0	0
MSTRG.100416.1	0.515838	0.534011	0.538486	0.556632	0.556446	0.42723	0.834183673469388	392	0.158	0
MSTRG.100423.9	0.512688	0.524882	0.53311	0.5663	0.60688	0.515961	0.654223968565815	509	0.726	1
MSTRG.100430.1	0.506034	0.512207	0.514166	0.513666	0.532763	0.433287	0.502738225629792	913	0.672	1
MSTRG.100434.1	0.509157	0.519004	0.546844	0.578636	0.591258	0.522454	0.378712871287129	404	0.228	0
MSTRG.10044.1	0.517684	0.536543	0.542341	0.560835	0.563054	0.463181	0.762214983713355	307	0.088	0
MSTRG.100442.1	0.511822	0.525938	0.515443	0.516532	0.507724	0.463802	0.625827814569536	302	0.108	0
MSTRG.100445.1	0.505391	0.514484	0.524478	0.538699	0.53458	0.418895	0.592295345104334	623	0.404	0
MSTRG.10046.1	0.495571	0.494115	0.477137	0.46372	0.420573	0.182733	0.342639593908629	394	0.008	0
MSTRG.100464.1	0.513678	0.529072	0.536388	0.562687	0.575644	0.488292	0.279260780287474	1461	0.382	0
MSTRG.100464.2	0.513678	0.529072	0.536388	0.562687	0.575644	0.488292	0.309794988610478	1317	0.426	0
MSTRG.100470.1	0.494661	0.488879	0.495502	0.519171	0.56274	0.3791	0.755784061696658	389	0.056	0
MSTRG.100473.1	0.503329	0.511309	0.497484	0.512635	0.518891	0.38212	0.261904761904762	378	0.05	0
MSTRG.100478.1	0.512267	0.52488	0.549409	0.580341	0.616675	0.584518	0.98671096345515	301	0.548	1
MSTRG.100497.1	0.491951	0.475499	0.441597	0.382087	0.327661	0.240683	0.237154150197628	253	0	0
MSTRG.10050.1	0.521535	0.541504	0.548691	0.588675	0.615655	0.481725	0.353678929765886	1196	0.254	0
MSTRG.100506.1	0.515155	0.533619	0.54337	0.554846	0.53869	0.404334	0.53460972017673	1358	0.096	0
MSTRG.10051.1	0.491135	0.479624	0.458479	0.4307	0.409522	0.323099	0.189189189189189	1665	0.004	0
MSTRG.10051.10	0.508663	0.517535	0.520025	0.522388	0.525803	0.372036	0.116379310344828	2320	0	0
MSTRG.10051.11	0.508663	0.517535	0.520025	0.522388	0.525803	0.372036	0.144694533762058	1866	0	0
MSTRG.10051.12	0.491906	0.483404	0.474543	0.460424	0.463691	0.383826	0.310344827586207	1537	0.17	0
MSTRG.10051.13	0.508663	0.517535	0.520025	0.522388	0.525803	0.372036	0.15358361774744	1758	0	0
MSTRG.10051.14	0.508663	0.517535	0.520025	0.522388	0.525803	0.372036	0.150501672240803	1794	0	0
MSTRG.10051.15	0.492034	0.481501	0.463781	0.432803	0.407823	0.328976	0.178147268408551	1684	0	0
MSTRG.10051.16	0.490535	0.481871	0.481205	0.475558	0.49985	0.42764	0.13475499092559	2204	0.006	0
MSTRG.10051.17	0.49262	0.485033	0.477935	0.462812	0.465039	0.394842	0.277879341864717	1641	0.198	0
MSTRG.10051.18	0.508663	0.517535	0.520025	0.522388	0.525803	0.372036	0.122061482820976	2212	0	0
MSTRG.10051.19	0.508663	0.517535	0.520025	0.522388	0.525803	0.372036	0.119574844995571	2258	0	0
MSTRG.10051.2	0.508663	0.517535	0.520025	0.522388	0.525803	0.372036	0.137825421133231	1959	0	0
MSTRG.10051.20	0.508663	0.517535	0.520025	0.522388	0.525803	0.372036	0.166153846153846	1625	0	0
MSTRG.10051.3	0.491906	0.483404	0.474543	0.460424	0.463691	0.383826	0.306555269922879	1556	0.166	0
MSTRG.10051.4	0.508663	0.517535	0.520025	0.522388	0.525803	0.372036	0.122171945701357	2210	0	0
MSTRG.10051.5	0.491906	0.483404	0.474543	0.460424	0.463691	0.383826	0.283422459893048	1683	0.204	0
MSTRG.10051.6	0.508663	0.517535	0.520025	0.522388	0.525803	0.372036	0.140625	1920	0	0
MSTRG.10051.7	0.508663	0.517535	0.520025	0.522388	0.525803	0.372036	0.117698343504795	2294	0	0
MSTRG.10051.8	0.490535	0.481871	0.481205	0.475558	0.49985	0.42764	0.117067402443831	2537	0.002	0
MSTRG.10051.9	0.508663	0.517535	0.520025	0.522388	0.525803	0.372036	0.149171270718232	1810	0	0
MSTRG.100517.1	0.492247	0.485147	0.49612	0.492944	0.509441	0.41895	0.395005675368899	881	0.156	0
MSTRG.10052.1	0.483218	0.467202	0.45359	0.435289	0.432365	0.302997	0.238754325259516	578	0.02	0
MSTRG.100523.1	0.499588	0.498873	0.487063	0.460051	0.42232	0.211792	0.81570996978852	331	0.012	0
MSTRG.100529.1	0.507136	0.515064	0.531738	0.565005	0.5993	0.530534	0.281052631578947	950	0.392	0
MSTRG.100530.1	0.500299	0.501287	0.489989	0.474411	0.456632	0.325592	0.666666666666667	513	0.062	0
MSTRG.100530.2	0.500299	0.501287	0.489989	0.474411	0.456632	0.325592	0.563426688632619	607	0.078	0
MSTRG.100530.3	0.500299	0.501287	0.489989	0.474411	0.456632	0.325592	0.662790697674419	516	0.064	0
MSTRG.100530.4	0.500299	0.501287	0.489989	0.474411	0.456632	0.325592	0.754966887417219	453	0.064	0
MSTRG.100543.1	0.512648	0.524663	0.544885	0.567113	0.56686	0.519137	0.535714285714286	504	0.498	1
MSTRG.100544.1	0.514304	0.527153	0.521944	0.511837	0.513067	0.397903	0.909502262443439	221	0.066	0
MSTRG.100548.1	0.521112	0.544454	0.557559	0.578584	0.571576	0.484037	0.950177935943061	281	0.11	0
MSTRG.10055.1	0.504517	0.509466	0.52423	0.544716	0.573072	0.413445	0.643979057591623	382	0.218	0
MSTRG.100552.1	0.501228	0.501803	0.529507	0.544139	0.575823	0.510041	0.658536585365854	287	0.114	0
MSTRG.100553.1	0.494568	0.493138	0.479075	0.475592	0.48235	0.389415	0.315789473684211	665	0.128	0
MSTRG.100553.2	0.497692	0.496813	0.517612	0.520357	0.517044	0.451971	0.5125	480	0.212	0
MSTRG.100558.1	0.512721	0.526555	0.494348	0.474674	0.437496	0.145605	0.535211267605634	213	0.002	0
MSTRG.100559.1	0.498178	0.497033	0.523808	0.558834	0.601263	0.591234	0.169758812615955	4312	0.012	0
MSTRG.100559.2	0.498178	0.497033	0.523808	0.558834	0.601263	0.591234	0.170272156315422	4299	0.012	0
MSTRG.100569.1	0.51438	0.528639	0.535808	0.572735	0.569087	0.448969	0.363380281690141	1065	0.378	0
MSTRG.100569.2	0.51438	0.528639	0.535808	0.572735	0.569087	0.448969	0.16870095902354	2294	0	0
MSTRG.100581.1	0.495342	0.490965	0.478968	0.468766	0.468159	0.422591	0.556291390728477	604	0.638	1
MSTRG.100582.1	0.502217	0.501365	0.505125	0.493398	0.475454	0.284097	0.265988372093023	688	0.01	0
MSTRG.100586.1	0.499156	0.497404	0.487914	0.491133	0.51938	0.32713	0.319870759289176	619	0.026	0
MSTRG.100587.1	0.506917	0.514222	0.509042	0.506452	0.511171	0.391191	0.728358208955224	1005	0.584	1
MSTRG.100588.1	0.516185	0.531249	0.544866	0.574476	0.597178	0.537508	0.160095173351462	2942	0.008	0
MSTRG.100588.2	0.516185	0.531249	0.544866	0.574476	0.597178	0.537508	0.147510178515503	3193	0.008	0
MSTRG.100588.3	0.516185	0.531249	0.544866	0.574476	0.597178	0.537508	0.18772419290554	2509	0.01	0
MSTRG.100588.4	0.516185	0.531249	0.544866	0.574476	0.597178	0.537508	0.187873952931791	2507	0.022	0
MSTRG.100597.1	0.509256	0.52193	0.535128	0.553951	0.586253	0.517712	0.332307692307692	650	0.322	0
MSTRG.100597.2	0.499328	0.498663	0.512463	0.523579	0.529174	0.444391	0.25	564	0.114	0
MSTRG.10061.1	0.498798	0.497389	0.476156	0.476275	0.487194	0.38351	0.311688311688312	616	0.11	0
MSTRG.100610.1	0.517409	0.53434	0.539362	0.542115	0.541783	0.3371	0.207446808510638	1504	0.022	0
MSTRG.100610.2	0.517409	0.53434	0.539362	0.542115	0.541783	0.3371	0.198347107438017	1573	0.004	0
MSTRG.100610.3	0.517409	0.53434	0.539362	0.542115	0.541783	0.3371	0.21195652173913	1472	0.018	0
MSTRG.100610.4	0.517409	0.53434	0.539362	0.542115	0.541783	0.3371	0.21195652173913	1472	0.018	0
MSTRG.100612.1	0.496836	0.490864	0.502544	0.515187	0.53448	0.437626	0.237747653806048	1918	0.266	0
MSTRG.100621.1	0.513718	0.529408	0.533228	0.562044	0.569149	0.454395	0.490771812080537	1192	0.636	1
MSTRG.100621.2	0.513718	0.529408	0.533228	0.562044	0.569149	0.454395	0.242236024844721	2415	0.394	0
MSTRG.100621.3	0.513718	0.529408	0.533228	0.562044	0.569149	0.454395	0.317589576547231	1842	0.464	1
MSTRG.100622.14	0.510553	0.519858	0.514452	0.519412	0.551142	0.50608	0.170062001771479	1129	0.01	0
MSTRG.100629.1	0.501541	0.503822	0.525228	0.553189	0.583104	0.44378	0.539112050739958	473	0.34	0
MSTRG.100635.1	0.499915	0.500623	0.493596	0.483075	0.496393	0.293006	0.171617161716172	909	0.002	0
MSTRG.100636.1	0.502782	0.502594	0.491247	0.465897	0.471377	0.234235	0.35036496350365	274	0.008	0
MSTRG.10064.1	0.496225	0.494586	0.498029	0.520076	0.561149	0.551427	0.264248704663212	386	0.244	0
MSTRG.100641.1	0.510475	0.522804	0.527276	0.539802	0.555149	0.451642	0.514830508474576	944	0.592	1
MSTRG.100641.2	0.508189	0.517481	0.523369	0.53484	0.545499	0.456684	0.712035995500562	889	0.82	1
MSTRG.100642.1	0.496694	0.493787	0.513577	0.536522	0.564916	0.530595	0.209134615384615	4992	0.836	1
MSTRG.100642.2	0.496433	0.493368	0.508989	0.525466	0.550082	0.528897	0.278733654507915	4359	0.872	1
MSTRG.100642.3	0.496694	0.493787	0.513577	0.536522	0.564916	0.530595	0.229500989228402	4549	0.85	1
MSTRG.100649.1	0.5234	0.542642	0.541198	0.561971	0.528337	0.413172	0.35632183908046	783	0.086	0
MSTRG.100657.1	0.488258	0.47278	0.47216	0.450386	0.41362	0.088169	0.522184300341297	293	0.002	0
MSTRG.100667.1	0.510096	0.521	0.517354	0.519847	0.530994	0.699212	0.169303797468354	1896	0.094	0
MSTRG.100667.2	0.510096	0.521	0.517354	0.519847	0.530994	0.699212	0.157972440944882	2032	0.088	0
MSTRG.100667.3	0.515774	0.532297	0.536897	0.559779	0.574582	0.534813	0.200121285627653	1649	0.208	0
MSTRG.100667.4	0.510981	0.522872	0.522169	0.533894	0.538195	0.626068	0.239690721649485	1940	0.898	1
MSTRG.100667.5	0.510981	0.522872	0.522169	0.533894	0.538195	0.626068	0.371405750798722	1252	0.904	1
MSTRG.100667.6	0.510981	0.522872	0.522169	0.533894	0.538195	0.626068	0.254237288135593	1829	0.896	1
MSTRG.100667.7	0.511267	0.52345	0.52303	0.535326	0.53893	0.626324	0.29277566539924	1578	0.9	1
MSTRG.100667.8	0.51155	0.524242	0.523673	0.536037	0.540069	0.634731	0.244897959183673	1862	0.876	1
MSTRG.100668.1	0.516153	0.533851	0.537381	0.569286	0.568351	0.504617	0.455097087378641	824	0.54	1
MSTRG.100668.2	0.515986	0.533443	0.535658	0.569157	0.570113	0.508861	0.387198321091291	953	0.578	1
MSTRG.100671.1	0.517348	0.536605	0.567292	0.638014	0.677851	0.593524	0.197628458498024	759	0.062	0
MSTRG.100674.1	0.49593	0.491993	0.485044	0.480549	0.50268	0.422373	0.061667631731326	3454	0.01	0
MSTRG.100677.1	0.50077	0.5026	0.510863	0.530859	0.528554	0.438937	0.201357466063348	1326	0.13	0
MSTRG.100679.1	0.51241	0.526597	0.540188	0.550475	0.558054	0.474825	0.33273219116321	1109	0.342	0
MSTRG.100679.2	0.513853	0.529239	0.543989	0.557349	0.568809	0.484158	0.253400143163923	1397	0.238	0
MSTRG.100679.3	0.511045	0.525212	0.535281	0.527639	0.50614	0.437305	0.317246273953158	1409	0.266	0
MSTRG.100679.4	0.511045	0.525212	0.535281	0.527639	0.50614	0.437305	0.261098130841121	1712	0.222	0
MSTRG.100679.5	0.492577	0.482089	0.476401	0.447225	0.453913	0.346117	0.222527472527473	728	0.032	0
MSTRG.100679.6	0.492577	0.482089	0.476401	0.447225	0.453913	0.346117	0.225	720	0.024	0
MSTRG.100699.1	0.495182	0.495504	0.508982	0.542693	0.556847	0.575434	0.280733944954128	545	0.366	0
MSTRG.100699.2	0.498504	0.501592	0.50203	0.522377	0.537044	0.502192	0.465618860510805	509	0.42	0
MSTRG.10070.1	0.515184	0.531271	0.535826	0.559367	0.576873	0.468798	0.682634730538922	501	0.622	1
MSTRG.100701.1	0.521568	0.545346	0.551919	0.578529	0.575712	0.662509	0.239506172839506	1215	0.52	1
MSTRG.100701.2	0.521876	0.54642	0.556468	0.585701	0.586854	0.66365	0.251677852348993	1192	0.554	1
MSTRG.100702.1	0.491284	0.482924	0.477166	0.443516	0.466621	0.410638	0.477966101694915	295	0.046	0
MSTRG.100708.1	0.488922	0.471852	0.462291	0.439537	0.387018	0.102837	0.552631578947368	228	0.004	0
MSTRG.100709.1	0.48898	0.472288	0.461803	0.444549	0.394702	0.091092	0.582089552238806	201	0.004	0
MSTRG.100710.1	0.495645	0.490913	0.529599	0.562128	0.551483	0.192027	0.573529411764706	204	0	0
MSTRG.100717.1	0.488134	0.473076	0.455609	0.42553	0.420403	0.245453	0.189141856392294	1142	0.002	0
MSTRG.100719.1	0.515294	0.532713	0.535568	0.563608	0.581351	0.463071	0.202160493827161	1944	0.26	0
MSTRG.100733.1	0.502687	0.505248	0.511441	0.520191	0.516585	0.269711	0.681310498883098	1343	0.016	0
MSTRG.100737.1	0.49118	0.484036	0.492417	0.491105	0.483518	0.372903	0.720720720720721	333	0.05	0
MSTRG.10074.1	0.490965	0.482489	0.505612	0.50506	0.528215	0.42583	0.662576687116564	489	0.138	0
MSTRG.100742.1	0.491039	0.48453	0.47909	0.449125	0.408427	0.311389	0.6875	384	0.048	0
MSTRG.100746.1	0.503072	0.504347	0.480479	0.477465	0.497165	0.42931	0.325714285714286	525	0.046	0
MSTRG.100766.1	0.497206	0.491299	0.503854	0.504574	0.533326	0.460648	0.783018867924528	318	0.396	0
MSTRG.100767.1	0.515076	0.531737	0.528344	0.529505	0.540817	0.41187	0.389055472263868	1334	0.298	0
MSTRG.100767.2	0.495684	0.491476	0.490737	0.491303	0.518162	0.396816	0.294751009421265	743	0.084	0
MSTRG.100775.1	0.512361	0.527664	0.560432	0.591171	0.606244	0.496025	0.696	500	0.41	0
MSTRG.100775.2	0.514954	0.532893	0.570026	0.60811	0.62978	0.518977	0.658995815899582	478	0.352	0
MSTRG.100778.1	0.491972	0.484804	0.482882	0.470062	0.485802	0.480132	0.219047619047619	1260	0.394	0
MSTRG.10078.1	0.500788	0.503282	0.516627	0.534693	0.551069	0.478631	0.409756097560976	615	0.454	0
MSTRG.100782.1	0.513674	0.529316	0.538903	0.560659	0.578138	0.442524	0.503225806451613	620	0.558	1
MSTRG.100787.1	0.487055	0.472603	0.417535	0.362675	0.32481	0.278304	0.197604790419162	501	0	0
MSTRG.100788.1	0.515874	0.532517	0.542742	0.569679	0.586315	0.466608	0.387263339070568	1743	0.39	0
MSTRG.10080.1	0.49578	0.491599	0.496907	0.501283	0.524488	0.496676	0.613050944476245	1747	0.93	1
MSTRG.10080.2	0.498235	0.496657	0.502999	0.514731	0.545945	0.520633	0.651515151515151	1188	0.906	1
MSTRG.100804.1	0.495779	0.492288	0.508149	0.525477	0.565576	0.525294	0.710280373831776	321	0.388	0
MSTRG.10081.1	0.495688	0.489582	0.469545	0.451229	0.443763	0.371897	0.236842105263158	836	0.012	0
MSTRG.100812.1	0.506982	0.515986	0.509946	0.52461	0.530498	0.454288	0.347770700636943	785	0.296	0
MSTRG.100812.2	0.50657	0.514897	0.508602	0.520201	0.524808	0.450872	0.347770700636943	785	0.346	0
MSTRG.100812.3	0.5061	0.513681	0.502768	0.529167	0.561529	0.372169	0.275423728813559	708	0.048	0
MSTRG.100812.4	0.505626	0.512221	0.501364	0.524941	0.55744	0.38323	0.281118881118881	715	0.094	0
MSTRG.100812.5	0.48552	0.468888	0.465232	0.430666	0.399023	0.321089	0.118487394957983	1190	0.002	0
MSTRG.100812.6	0.484233	0.464557	0.457021	0.43599	0.419239	0.384793	0.149791955617198	721	0.002	0
MSTRG.100815.1	0.510108	0.521413	0.524776	0.533503	0.523745	0.384327	0.0821274931560422	2557	0	0
MSTRG.100815.2	0.499828	0.497861	0.494588	0.497787	0.504291	0.409472	0.183556405353728	1046	0.002	0
MSTRG.10082.1	0.502445	0.506639	0.494293	0.475191	0.424335	0.272215	0.39527027027027	296	0.002	0
MSTRG.100822.1	0.494019	0.489651	0.479722	0.503381	0.516379	0.380539	0.132283464566929	635	0.006	0
MSTRG.100822.2	0.495564	0.496057	0.479192	0.496815	0.542729	0.501311	0.214899713467049	349	0.104	0
MSTRG.100829.1	0.521088	0.545299	0.567872	0.617392	0.645103	0.618504	0.763912310286678	593	0.756	1
MSTRG.100841.1	0.507953	0.516281	0.535517	0.568988	0.590964	0.468058	0.329633740288568	1802	0.288	0
MSTRG.100841.2	0.507953	0.516281	0.535517	0.568988	0.590964	0.468058	0.315286624203822	1884	0.29	0
MSTRG.100841.3	0.507953	0.516281	0.535517	0.568988	0.590964	0.468058	0.32512315270936	1827	0.282	0
MSTRG.10085.1	0.492801	0.487262	0.483868	0.476595	0.464008	0.242247	0.589420654911839	397	0.002	0
MSTRG.100852.1	0.505597	0.510961	0.491646	0.497224	0.458445	0.152979	0.642253521126761	355	0.01	0
MSTRG.100854.1	0.496166	0.497038	0.497762	0.491302	0.470651	0.34456	0.176039119804401	409	0.014	0
MSTRG.100855.1	0.497797	0.495824	0.501072	0.511376	0.552956	0.524706	0.697435897435897	585	0.826	1
