              Seq predicted  prediction
      MSTRG.519.1  1:lncRNA       0.852
      MSTRG.519.2  1:lncRNA       0.863
      MSTRG.520.1    2:mRNA       1.000
      MSTRG.522.1  1:lncRNA       0.863
      MSTRG.525.1    2:mRNA       1.000
      MSTRG.525.2  1:lncRNA       0.852
      MSTRG.530.1  1:lncRNA       0.863
      MSTRG.536.1    2:mRNA       1.000
      MSTRG.536.2    2:mRNA       1.000
      MSTRG.537.1  1:lncRNA       0.782
      MSTRG.542.1  1:lncRNA       0.863
      MSTRG.544.1  1:lncRNA       0.852
      MSTRG.544.2  1:lncRNA       0.782
      MSTRG.544.3  1:lncRNA       0.782
      MSTRG.548.1  1:lncRNA       0.852
      MSTRG.550.1  1:lncRNA       0.852
      MSTRG.551.1  1:lncRNA       0.852
      MSTRG.551.2  1:lncRNA       0.852
      MSTRG.551.3  1:lncRNA       0.852
      MSTRG.551.4  1:lncRNA       0.852
      MSTRG.551.5  1:lncRNA       0.852
      MSTRG.551.6  1:lncRNA       0.852
      MSTRG.551.7  1:lncRNA       0.852
      MSTRG.551.8  1:lncRNA       0.852
      MSTRG.551.9  1:lncRNA       0.852
     MSTRG.551.10  1:lncRNA       0.852
      MSTRG.555.1    2:mRNA       0.596
      MSTRG.555.2    2:mRNA       0.596
      MSTRG.555.3    2:mRNA       0.596
      MSTRG.555.4    2:mRNA       0.596
      MSTRG.555.5    2:mRNA       0.596
      MSTRG.559.1  1:lncRNA       0.863
      MSTRG.560.1  1:lncRNA       0.863
      MSTRG.565.1  1:lncRNA       0.863
      MSTRG.567.1    2:mRNA       0.596
      MSTRG.570.1    2:mRNA       0.596
      MSTRG.570.2    2:mRNA       0.596
      MSTRG.571.1  1:lncRNA       0.852
      MSTRG.570.3  1:lncRNA       0.852
      MSTRG.571.2  1:lncRNA       0.852
      MSTRG.570.4  1:lncRNA       0.852
      MSTRG.570.5    2:mRNA       0.596
      MSTRG.570.6  1:lncRNA       0.852
      MSTRG.570.7    2:mRNA       0.596
      MSTRG.570.8    2:mRNA       0.596
      MSTRG.570.9    2:mRNA       0.596
      MSTRG.573.1    2:mRNA       1.000
      MSTRG.576.1    2:mRNA       1.000
      MSTRG.582.1  1:lncRNA       0.863
      MSTRG.583.1    2:mRNA       0.596
      MSTRG.583.2    2:mRNA       0.596
      MSTRG.583.3  1:lncRNA       0.852
      MSTRG.583.4  1:lncRNA       0.852
      MSTRG.588.1  1:lncRNA       0.863
      MSTRG.590.1  1:lncRNA       0.863
      MSTRG.591.1    2:mRNA       1.000
      MSTRG.592.1    2:mRNA       1.000
      MSTRG.593.1  1:lncRNA       0.852
      MSTRG.594.1  1:lncRNA       0.852
      MSTRG.594.2  1:lncRNA       0.852
      MSTRG.600.1  1:lncRNA       0.863
      MSTRG.601.1  1:lncRNA       0.852
      MSTRG.603.1  1:lncRNA       0.852
      MSTRG.605.1  1:lncRNA       0.863
      MSTRG.606.1  1:lncRNA       0.863
      MSTRG.606.2  1:lncRNA       0.863
      MSTRG.607.1  1:lncRNA       0.852
      MSTRG.614.1  1:lncRNA       0.852
      MSTRG.614.2  1:lncRNA       0.852
      MSTRG.614.3  1:lncRNA       0.852
      MSTRG.614.4  1:lncRNA       0.852
      MSTRG.614.5  1:lncRNA       0.852
      MSTRG.614.6  1:lncRNA       0.852
      MSTRG.618.1  1:lncRNA       0.852
      MSTRG.617.1  1:lncRNA       0.852
      MSTRG.621.1    2:mRNA       1.000
      MSTRG.623.1  1:lncRNA       0.863
      MSTRG.629.1  1:lncRNA       0.863
      MSTRG.632.1  1:lncRNA       0.852
      MSTRG.632.2  1:lncRNA       0.852
      MSTRG.636.1  1:lncRNA       0.863
      MSTRG.638.1    2:mRNA       1.000
      MSTRG.638.2    2:mRNA       0.596
      MSTRG.638.3  1:lncRNA       0.852
      MSTRG.638.4    2:mRNA       0.596
      MSTRG.638.5    2:mRNA       0.596
      MSTRG.639.1    2:mRNA       0.596
      MSTRG.638.6    2:mRNA       0.596
      MSTRG.638.7    2:mRNA       1.000
      MSTRG.638.8    2:mRNA       1.000
      MSTRG.638.9  1:lncRNA       0.763
     MSTRG.638.10    2:mRNA       0.596
      MSTRG.639.2    2:mRNA       1.000
      MSTRG.646.1  1:lncRNA       0.852
      MSTRG.646.2  1:lncRNA       0.852
      MSTRG.650.1  1:lncRNA       0.782
      MSTRG.655.1  1:lncRNA       0.863
      MSTRG.659.1  1:lncRNA       0.852
      MSTRG.665.1  1:lncRNA       0.782
      MSTRG.671.1  1:lncRNA       0.852
      MSTRG.676.1  1:lncRNA       0.863
      MSTRG.682.1  1:lncRNA       0.852
      MSTRG.686.1  1:lncRNA       0.852
      MSTRG.688.1  1:lncRNA       0.852
      MSTRG.694.1    2:mRNA       1.000
      MSTRG.695.1    2:mRNA       0.596
      MSTRG.695.2  1:lncRNA       0.852
      MSTRG.695.3  1:lncRNA       0.852
      MSTRG.695.4    2:mRNA       0.596
      MSTRG.695.5    2:mRNA       0.596
      MSTRG.695.6  1:lncRNA       0.852
      MSTRG.695.7  1:lncRNA       0.852
      MSTRG.700.1    2:mRNA       0.596
      MSTRG.700.2    2:mRNA       0.596
      MSTRG.700.3    2:mRNA       0.596
      MSTRG.699.2    2:mRNA       1.000
      MSTRG.701.1    2:mRNA       0.596
      MSTRG.703.1  1:lncRNA       0.852
      MSTRG.703.2  1:lncRNA       0.852
      MSTRG.704.1  1:lncRNA       0.782
      MSTRG.704.2  1:lncRNA       0.852
      MSTRG.708.1  1:lncRNA       0.697
      MSTRG.707.1    2:mRNA       1.000
      MSTRG.709.1  1:lncRNA       0.863
      MSTRG.713.1    2:mRNA       1.000
      MSTRG.721.1    2:mRNA       1.000
      MSTRG.722.1    2:mRNA       1.000
      MSTRG.730.1  1:lncRNA       0.863
      MSTRG.731.1  1:lncRNA       0.852
      MSTRG.731.2  1:lncRNA       0.852
      MSTRG.731.3  1:lncRNA       0.852
      MSTRG.731.4  1:lncRNA       0.852
      MSTRG.735.1    2:mRNA       0.596
      MSTRG.735.2  1:lncRNA       0.852
      MSTRG.735.3  1:lncRNA       0.852
      MSTRG.735.4  1:lncRNA       0.852
      MSTRG.735.5  1:lncRNA       0.852
      MSTRG.736.1  1:lncRNA       0.852
      MSTRG.736.2  1:lncRNA       0.852
      MSTRG.736.3  1:lncRNA       0.852
      MSTRG.736.4  1:lncRNA       0.852
      MSTRG.741.1  1:lncRNA       0.852
      MSTRG.743.1  1:lncRNA       0.852
      MSTRG.744.1  1:lncRNA       0.852
      MSTRG.749.1  1:lncRNA       0.852
      MSTRG.750.1    2:mRNA       1.000
      MSTRG.751.3  1:lncRNA       0.852
      MSTRG.751.1  1:lncRNA       0.852
      MSTRG.751.2  1:lncRNA       0.852
      MSTRG.752.1  1:lncRNA       0.863
      MSTRG.752.2  1:lncRNA       0.852
      MSTRG.752.3  1:lncRNA       0.852
      MSTRG.755.1  1:lncRNA       0.852
      MSTRG.756.3  1:lncRNA       0.852
      MSTRG.757.1    2:mRNA       1.000
      MSTRG.757.2    2:mRNA       1.000
      MSTRG.757.3    2:mRNA       1.000
      MSTRG.756.6    2:mRNA       1.000
      MSTRG.756.7    2:mRNA       1.000
      MSTRG.756.8    2:mRNA       1.000
      MSTRG.756.9    2:mRNA       1.000
      MSTRG.764.1  1:lncRNA       0.863
      MSTRG.767.1    2:mRNA       1.000
      MSTRG.771.1  1:lncRNA       0.852
      MSTRG.774.1    2:mRNA       1.000
      MSTRG.776.1    2:mRNA       1.000
      MSTRG.777.1    2:mRNA       1.000
      MSTRG.779.1    2:mRNA       1.000
      MSTRG.780.1  1:lncRNA       0.863
      MSTRG.785.1  1:lncRNA       0.852
      MSTRG.785.2  1:lncRNA       0.852
      MSTRG.785.3    2:mRNA       0.596
      MSTRG.785.4  1:lncRNA       0.852
      MSTRG.785.5  1:lncRNA       0.852
      MSTRG.785.6  1:lncRNA       0.852
      MSTRG.791.1  1:lncRNA       0.852
      MSTRG.791.2  1:lncRNA       0.852
      MSTRG.802.1  1:lncRNA       0.852
      MSTRG.802.2  1:lncRNA       0.852
      MSTRG.805.1  1:lncRNA       0.863
      MSTRG.808.1    2:mRNA       1.000
      MSTRG.809.1  1:lncRNA       0.852
      MSTRG.814.1  1:lncRNA       0.863
      MSTRG.819.1  1:lncRNA       0.863
      MSTRG.820.1  1:lncRNA       0.863
      MSTRG.822.1  1:lncRNA       0.782
      MSTRG.822.2    2:mRNA       0.596
      MSTRG.822.3  1:lncRNA       0.782
      MSTRG.826.1    2:mRNA       1.000
      MSTRG.827.1  1:lncRNA       0.852
      MSTRG.830.1  1:lncRNA       0.782
      MSTRG.830.2  1:lncRNA       0.782
      MSTRG.837.1  1:lncRNA       0.782
      MSTRG.856.1  1:lncRNA       0.863
      MSTRG.861.1    2:mRNA       1.000
      MSTRG.865.1  1:lncRNA       0.782
      MSTRG.865.2  1:lncRNA       0.929
      MSTRG.874.4  1:lncRNA       0.697
      MSTRG.874.5  1:lncRNA       0.697
      MSTRG.877.1  1:lncRNA       0.863
      MSTRG.880.1  1:lncRNA       0.852
      MSTRG.881.1  1:lncRNA       0.852
      MSTRG.891.1  1:lncRNA       0.782
      MSTRG.892.1  1:lncRNA       0.852
      MSTRG.893.1  1:lncRNA       0.863
      MSTRG.892.2  1:lncRNA       0.782
      MSTRG.894.1  1:lncRNA       0.863
      MSTRG.895.1  1:lncRNA       0.852
      MSTRG.896.1  1:lncRNA       0.863
      MSTRG.898.1  1:lncRNA       0.863
      MSTRG.900.1    2:mRNA       1.000
      MSTRG.901.1  1:lncRNA       0.863
      MSTRG.906.1  1:lncRNA       0.852
      MSTRG.908.1  1:lncRNA       0.863
      MSTRG.921.1  1:lncRNA       0.852
      MSTRG.924.1  1:lncRNA       0.782
      MSTRG.926.1  1:lncRNA       0.863
      MSTRG.927.4  1:lncRNA       0.782
      MSTRG.928.1    2:mRNA       1.000
      MSTRG.928.2    2:mRNA       1.000
      MSTRG.929.1  1:lncRNA       0.863
      MSTRG.937.1    2:mRNA       1.000
      MSTRG.946.1    2:mRNA       1.000
      MSTRG.946.2    2:mRNA       1.000
      MSTRG.951.1    2:mRNA       1.000
      MSTRG.953.1  1:lncRNA       0.782
      MSTRG.953.2  1:lncRNA       0.782
      MSTRG.953.3  1:lncRNA       0.782
      MSTRG.956.1  1:lncRNA       0.863
      MSTRG.957.1  1:lncRNA       0.863
      MSTRG.968.1  1:lncRNA       0.852
      MSTRG.968.2  1:lncRNA       0.852
      MSTRG.974.1    2:mRNA       1.000
      MSTRG.977.1  1:lncRNA       0.852
      MSTRG.977.2  1:lncRNA       0.852
      MSTRG.987.1    2:mRNA       1.000
      MSTRG.987.2  1:lncRNA       0.782
      MSTRG.987.3  1:lncRNA       0.782
      MSTRG.987.4  1:lncRNA       0.852
      MSTRG.987.5  1:lncRNA       0.852
      MSTRG.987.6  1:lncRNA       0.782
      MSTRG.987.7  1:lncRNA       0.863
      MSTRG.988.1  1:lncRNA       0.863
      MSTRG.988.2  1:lncRNA       0.863
      MSTRG.987.8  1:lncRNA       0.782
      MSTRG.987.9  1:lncRNA       0.863
     MSTRG.987.10    2:mRNA       1.000
     MSTRG.987.11  1:lncRNA       0.782
     MSTRG.987.12  1:lncRNA       0.863
     MSTRG.987.13  1:lncRNA       0.863
     MSTRG.986.26    2:mRNA       1.000
      MSTRG.989.1  1:lncRNA       0.852
      MSTRG.991.1  1:lncRNA       0.863
      MSTRG.992.1  1:lncRNA       0.852
      MSTRG.992.2  1:lncRNA       0.852
      MSTRG.995.1  1:lncRNA       0.852
      MSTRG.995.2  1:lncRNA       0.852
      MSTRG.995.3  1:lncRNA       0.852
     MSTRG.1001.1  1:lncRNA       0.863
     MSTRG.1004.1  1:lncRNA       0.863
     MSTRG.1013.1  1:lncRNA       0.863
     MSTRG.1022.1  1:lncRNA       0.863
     MSTRG.1023.1  1:lncRNA       0.852
     MSTRG.1029.1  1:lncRNA       0.863
     MSTRG.1034.1  1:lncRNA       0.863
     MSTRG.1035.1    2:mRNA       1.000
     MSTRG.1042.1    2:mRNA       0.596
     MSTRG.1042.2    2:mRNA       0.596
     MSTRG.1046.1  1:lncRNA       0.863
     MSTRG.1052.1  1:lncRNA       0.852
     MSTRG.1058.1  1:lncRNA       0.852
    MSTRG.1056.10  1:lncRNA       0.852
     MSTRG.1061.1  1:lncRNA       0.863
     MSTRG.1069.1  1:lncRNA       0.852
     MSTRG.1069.2  1:lncRNA       0.863
     MSTRG.1070.1  1:lncRNA       0.782
     MSTRG.1073.1  1:lncRNA       0.863
     MSTRG.1074.1  1:lncRNA       0.852
     MSTRG.1074.2  1:lncRNA       0.782
     MSTRG.1076.1  1:lncRNA       0.852
     MSTRG.1077.1  1:lncRNA       0.852
     MSTRG.1088.1    2:mRNA       1.000
     MSTRG.1089.1  1:lncRNA       0.852
     MSTRG.1089.2  1:lncRNA       0.852
     MSTRG.1093.1  1:lncRNA       0.852
     MSTRG.1094.1  1:lncRNA       0.863
     MSTRG.1096.1    2:mRNA       1.000
     MSTRG.1097.1    2:mRNA       1.000
     MSTRG.1098.1    2:mRNA       1.000
     MSTRG.1110.1  1:lncRNA       0.863
     MSTRG.1113.1    2:mRNA       1.000
     MSTRG.1114.1  1:lncRNA       0.863
     MSTRG.1116.1  1:lncRNA       0.863
     MSTRG.1125.1  1:lncRNA       0.852
     MSTRG.1132.1  1:lncRNA       0.852
     MSTRG.1133.1  1:lncRNA       0.697
     MSTRG.1131.3    2:mRNA       1.000
     MSTRG.1133.2  1:lncRNA       0.852
     MSTRG.1139.1    2:mRNA       1.000
     MSTRG.1140.1  1:lncRNA       0.863
     MSTRG.1150.1  1:lncRNA       0.852
     MSTRG.1150.2  1:lncRNA       0.852
     MSTRG.1150.3  1:lncRNA       0.852
     MSTRG.1150.4  1:lncRNA       0.852
     MSTRG.1150.5  1:lncRNA       0.852
     MSTRG.1151.1  1:lncRNA       0.852
     MSTRG.1152.1  1:lncRNA       0.852
     MSTRG.1153.1    2:mRNA       1.000
     MSTRG.1157.1    2:mRNA       1.000
     MSTRG.1157.2  1:lncRNA       0.863
     MSTRG.1169.1  1:lncRNA       0.852
     MSTRG.1180.1    2:mRNA       1.000
     MSTRG.1180.2    2:mRNA       1.000
     MSTRG.1187.1  1:lncRNA       0.852
     MSTRG.1193.1  1:lncRNA       0.852
     MSTRG.1195.1  1:lncRNA       0.825
     MSTRG.1195.2  1:lncRNA       0.825
     MSTRG.1195.3  1:lncRNA       0.825
     MSTRG.1195.4  1:lncRNA       0.782
     MSTRG.1195.5  1:lncRNA       0.852
     MSTRG.1196.1  1:lncRNA       0.782
     MSTRG.1197.1  1:lncRNA       0.697
     MSTRG.1197.2  1:lncRNA       0.697
     MSTRG.1197.3    2:mRNA       0.596
     MSTRG.1197.4    2:mRNA       0.596
     MSTRG.1197.5  1:lncRNA       0.697
     MSTRG.1198.1  1:lncRNA       0.782
     MSTRG.1204.1  1:lncRNA       0.863
     MSTRG.1206.1  1:lncRNA       0.852
     MSTRG.1207.1    2:mRNA       0.596
     MSTRG.1209.1  1:lncRNA       0.852
     MSTRG.1210.1  1:lncRNA       0.763
     MSTRG.1210.2  1:lncRNA       0.763
     MSTRG.1211.1  1:lncRNA       0.863
     MSTRG.1212.1  1:lncRNA       0.852
     MSTRG.1217.1    2:mRNA       1.000
     MSTRG.1218.1  1:lncRNA       0.852
     MSTRG.1233.1  1:lncRNA       0.863
     MSTRG.1236.1  1:lncRNA       0.782
     MSTRG.1237.1  1:lncRNA       0.852
     MSTRG.1237.2  1:lncRNA       0.852
     MSTRG.1237.3  1:lncRNA       0.852
     MSTRG.1237.4  1:lncRNA       0.852
     MSTRG.1240.1  1:lncRNA       0.852
     MSTRG.1241.1  1:lncRNA       0.852
     MSTRG.1242.1  1:lncRNA       0.852
     MSTRG.1242.2  1:lncRNA       0.852
     MSTRG.1242.3  1:lncRNA       0.852
     MSTRG.1244.1  1:lncRNA       0.852
     MSTRG.1245.1  1:lncRNA       0.852
     MSTRG.1245.2  1:lncRNA       0.852
     MSTRG.1248.1  1:lncRNA       0.863
     MSTRG.1250.1    2:mRNA       1.000
     MSTRG.1258.1  1:lncRNA       0.863
     MSTRG.1259.1  1:lncRNA       0.863
     MSTRG.1259.2  1:lncRNA       0.863
     MSTRG.1266.1    2:mRNA       1.000
     MSTRG.1270.1  1:lncRNA       0.852
     MSTRG.1287.1  1:lncRNA       0.863
     MSTRG.1288.1  1:lncRNA       0.852
     MSTRG.1288.2  1:lncRNA       0.852
     MSTRG.1299.1    2:mRNA       0.596
     MSTRG.1299.2  1:lncRNA       0.852
     MSTRG.1324.1    2:mRNA       1.000
     MSTRG.1330.1  1:lncRNA       0.852
     MSTRG.1332.1  1:lncRNA       0.863
     MSTRG.1338.1  1:lncRNA       0.863
     MSTRG.1346.1  1:lncRNA       0.852
     MSTRG.1346.2    2:mRNA       0.596
     MSTRG.1346.3  1:lncRNA       0.852
     MSTRG.1346.4  1:lncRNA       0.852
     MSTRG.1353.1  1:lncRNA       0.852
     MSTRG.1363.1  1:lncRNA       0.852
     MSTRG.1366.1    2:mRNA       0.596
     MSTRG.1366.2    2:mRNA       0.596
     MSTRG.1367.1  1:lncRNA       0.825
     MSTRG.1367.2  1:lncRNA       0.852
     MSTRG.1368.1  1:lncRNA       0.863
     MSTRG.1371.1  1:lncRNA       0.852
     MSTRG.1374.1  1:lncRNA       0.852
     MSTRG.1376.1    2:mRNA       1.000
     MSTRG.1376.2    2:mRNA       1.000
     MSTRG.1376.3    2:mRNA       1.000
     MSTRG.1376.4    2:mRNA       1.000
     MSTRG.1376.5    2:mRNA       1.000
     MSTRG.1376.6    2:mRNA       1.000
     MSTRG.1376.7    2:mRNA       1.000
     MSTRG.1376.8    2:mRNA       1.000
     MSTRG.1376.9    2:mRNA       1.000
    MSTRG.1376.10    2:mRNA       1.000
    MSTRG.1376.11    2:mRNA       1.000
     MSTRG.1377.1    2:mRNA       1.000
     MSTRG.1377.2    2:mRNA       1.000
     MSTRG.1377.3    2:mRNA       1.000
     MSTRG.1377.4    2:mRNA       1.000
     MSTRG.1378.1  1:lncRNA       0.863
     MSTRG.1380.1  1:lncRNA       0.852
     MSTRG.1382.7    2:mRNA       1.000
     MSTRG.1383.3  1:lncRNA       0.852
     MSTRG.1392.1    2:mRNA       1.000
     MSTRG.1392.2  1:lncRNA       0.852
     MSTRG.1393.1  1:lncRNA       0.782
     MSTRG.1397.1  1:lncRNA       0.825
     MSTRG.1398.1  1:lncRNA       0.782
     MSTRG.1398.2  1:lncRNA       0.782
     MSTRG.1398.3  1:lncRNA       0.782
     MSTRG.1398.4  1:lncRNA       0.782
     MSTRG.1398.5  1:lncRNA       0.782
     MSTRG.1398.6  1:lncRNA       0.852
     MSTRG.1398.7  1:lncRNA       0.782
     MSTRG.1399.1  1:lncRNA       0.852
     MSTRG.1403.1  1:lncRNA       0.852
     MSTRG.1403.2  1:lncRNA       0.852
     MSTRG.1405.1  1:lncRNA       0.852
     MSTRG.1405.2  1:lncRNA       0.852
     MSTRG.1408.1  1:lncRNA       0.852
     MSTRG.1408.2  1:lncRNA       0.852
     MSTRG.1415.1    2:mRNA       1.000
     MSTRG.1417.1  1:lncRNA       0.852
     MSTRG.1427.1    2:mRNA       1.000
     MSTRG.1428.1    2:mRNA       1.000
     MSTRG.1429.1  1:lncRNA       0.852
     MSTRG.1438.4    2:mRNA       1.000
     MSTRG.1438.5    2:mRNA       1.000
     MSTRG.1439.1    2:mRNA       1.000
     MSTRG.1440.1    2:mRNA       1.000
     MSTRG.1440.2  1:lncRNA       0.825
     MSTRG.1445.1  1:lncRNA       0.852
    MSTRG.1450.10    2:mRNA       1.000
     MSTRG.1450.9    2:mRNA       1.000
    MSTRG.1450.11    2:mRNA       1.000
     MSTRG.1451.1  1:lncRNA       0.852
     MSTRG.1453.1  1:lncRNA       0.863
     MSTRG.1455.1  1:lncRNA       0.852
     MSTRG.1459.1    2:mRNA       1.000
     MSTRG.1460.1  1:lncRNA       0.863
     MSTRG.1463.1  1:lncRNA       0.852
     MSTRG.1464.1  1:lncRNA       0.863
     MSTRG.1471.1  1:lncRNA       0.852
     MSTRG.1471.2  1:lncRNA       0.852
     MSTRG.1473.1  1:lncRNA       0.782
     MSTRG.1474.1  1:lncRNA       0.863
