                Seq predicted  prediction
  MSTRG.46424.1_rev  1:lncRNA       0.863
  MSTRG.46753.1_rev  1:lncRNA       0.852
  MSTRG.46764.1_rev  1:lncRNA       0.852
  MSTRG.46898.1_rev  1:lncRNA       0.863
  MSTRG.46936.1_rev  1:lncRNA       0.863
  MSTRG.47156.1_rev  1:lncRNA       0.852
  MSTRG.47197.1_rev  1:lncRNA       0.852
  MSTRG.47220.1_rev  1:lncRNA       0.863
  MSTRG.47310.1_rev  1:lncRNA       0.863
  MSTRG.47323.1_rev    2:mRNA       1.000
  MSTRG.47387.1_rev    2:mRNA       1.000
  MSTRG.47469.1_rev  1:lncRNA       0.863
  MSTRG.47524.1_rev  1:lncRNA       0.863
  MSTRG.47534.1_rev  1:lncRNA       0.863
  MSTRG.47546.1_rev  1:lncRNA       0.852
  MSTRG.47552.1_rev  1:lncRNA       0.863
  MSTRG.47565.1_rev  1:lncRNA       0.852
  MSTRG.47592.1_rev  1:lncRNA       0.863
  MSTRG.47694.1_rev  1:lncRNA       0.863
  MSTRG.47949.1_rev  1:lncRNA       0.852
  MSTRG.48088.1_rev  1:lncRNA       0.863
  MSTRG.48417.1_rev  1:lncRNA       0.863
  MSTRG.48509.1_rev  1:lncRNA       0.863
  MSTRG.48611.1_rev  1:lncRNA       0.863
  MSTRG.48624.1_rev  1:lncRNA       0.863
  MSTRG.48625.1_rev  1:lncRNA       0.863
  MSTRG.48727.1_rev  1:lncRNA       0.863
  MSTRG.48798.1_rev  1:lncRNA       0.863
  MSTRG.48913.1_rev  1:lncRNA       0.852
  MSTRG.48974.1_rev  1:lncRNA       0.825
  MSTRG.48999.1_rev  1:lncRNA       0.863
  MSTRG.49166.1_rev  1:lncRNA       0.863
  MSTRG.49231.1_rev  1:lncRNA       0.782
  MSTRG.49241.1_rev    2:mRNA       1.000
  MSTRG.49536.1_rev  1:lncRNA       0.863
  MSTRG.49565.1_rev    2:mRNA       0.596
  MSTRG.49744.1_rev  1:lncRNA       0.852
  MSTRG.49943.1_rev  1:lncRNA       0.863
  MSTRG.50121.1_rev  1:lncRNA       0.852
  MSTRG.50188.1_rev  1:lncRNA       0.863
  MSTRG.50532.1_rev  1:lncRNA       0.782
  MSTRG.50771.1_rev  1:lncRNA       0.863
  MSTRG.50858.1_rev  1:lncRNA       0.863
  MSTRG.51093.1_rev  1:lncRNA       0.852
  MSTRG.51134.1_rev  1:lncRNA       0.863
  MSTRG.51420.1_rev  1:lncRNA       0.863
  MSTRG.51575.1_rev  1:lncRNA       0.863
  MSTRG.51576.1_rev  1:lncRNA       0.863
  MSTRG.51594.1_rev  1:lncRNA       0.852
  MSTRG.51630.1_rev  1:lncRNA       0.863
  MSTRG.51648.1_rev  1:lncRNA       0.863
  MSTRG.51780.1_rev  1:lncRNA       0.852
  MSTRG.51875.1_rev  1:lncRNA       0.852
  MSTRG.52161.1_rev  1:lncRNA       0.863
  MSTRG.52503.1_rev  1:lncRNA       0.863
  MSTRG.52545.1_rev  1:lncRNA       0.863
  MSTRG.52576.1_rev  1:lncRNA       0.863
  MSTRG.52674.1_rev  1:lncRNA       0.852
  MSTRG.52834.1_rev  1:lncRNA       0.863
  MSTRG.52847.1_rev  1:lncRNA       0.863
  MSTRG.52926.1_rev  1:lncRNA       0.863
  MSTRG.52944.1_rev  1:lncRNA       0.863
  MSTRG.52946.1_rev    2:mRNA       1.000
  MSTRG.53082.1_rev  1:lncRNA       0.852
  MSTRG.53146.1_rev  1:lncRNA       0.697
  MSTRG.53241.1_rev  1:lncRNA       0.863
  MSTRG.53247.1_rev  1:lncRNA       0.863
  MSTRG.53290.1_rev  1:lncRNA       0.863
  MSTRG.53508.1_rev  1:lncRNA       0.852
  MSTRG.53514.1_rev  1:lncRNA       0.863
