sequence_name	coding_score	classification
MSTRG.471.1	0.60281	coding
MSTRG.481.1	0.86653	coding
MSTRG.498.1	0.86309	coding
MSTRG.500.1	0.11940	noncoding
MSTRG.501.1	0.86678	coding
MSTRG.502.1	0.74064	coding
MSTRG.503.1	0.71195	coding
MSTRG.504.1	0.98686	coding
MSTRG.506.1	0.78879	coding
MSTRG.507.1	0.72877	coding
MSTRG.511.1	0.90905	coding
MSTRG.511.2	0.84465	coding
MSTRG.511.3	0.85486	coding
MSTRG.513.1	0.78381	coding
MSTRG.513.2	0.80237	coding
MSTRG.513.3	0.68228	coding
MSTRG.513.4	0.81922	coding
MSTRG.514.1	0.93686	coding
MSTRG.514.2	0.89623	coding
MSTRG.515.1	0.96357	coding
MSTRG.515.2	0.96599	coding
MSTRG.518.1	0.47151	noncoding
MSTRG.519.1	0.70492	coding
MSTRG.519.2	0.49406	noncoding
MSTRG.520.1	0.74825	coding
MSTRG.522.1	0.21771	noncoding
MSTRG.525.1	0.99979	coding
MSTRG.525.2	0.98244	coding
MSTRG.530.1	0.88838	coding
MSTRG.536.1	0.51783	coding
MSTRG.536.2	0.81040	coding
MSTRG.537.1	0.98201	coding
MSTRG.542.1	0.83977	coding
MSTRG.544.1	0.92670	coding
MSTRG.544.2	0.98992	coding
MSTRG.544.3	0.97666	coding
MSTRG.548.1	0.72980	coding
MSTRG.550.1	0.40277	noncoding
MSTRG.551.1	0.95508	coding
MSTRG.551.2	0.94026	coding
MSTRG.551.3	0.82708	coding
MSTRG.551.4	0.95483	coding
MSTRG.551.5	0.96096	coding
MSTRG.551.6	0.70326	coding
MSTRG.551.7	0.94401	coding
MSTRG.551.8	0.88150	coding
MSTRG.551.9	0.89649	coding
MSTRG.551.10	0.32478	noncoding
MSTRG.555.1	0.63551	coding
MSTRG.555.2	0.65101	coding
MSTRG.555.3	0.74946	coding
MSTRG.555.4	0.73629	coding
MSTRG.555.5	0.85707	coding
MSTRG.559.1	0.02603	noncoding
MSTRG.560.1	0.08006	noncoding
MSTRG.565.1	0.02871	noncoding
MSTRG.567.1	0.41170	noncoding
MSTRG.570.1	0.19963	noncoding
MSTRG.570.2	0.19913	noncoding
MSTRG.571.1	0.05806	noncoding
MSTRG.570.3	0.27564	noncoding
MSTRG.571.2	0.18390	noncoding
MSTRG.570.4	0.34691	noncoding
MSTRG.570.5	0.17881	noncoding
MSTRG.570.6	0.23007	noncoding
MSTRG.570.7	0.45802	noncoding
MSTRG.570.8	0.32061	noncoding
MSTRG.570.9	0.40368	noncoding
MSTRG.573.1	0.99179	coding
MSTRG.576.1	0.99909	coding
MSTRG.582.1	0.91416	coding
MSTRG.583.1	0.13972	noncoding
MSTRG.583.2	0.75018	coding
MSTRG.583.3	0.17345	noncoding
MSTRG.583.4	0.17440	noncoding
MSTRG.588.1	0.92602	coding
MSTRG.590.1	0.60450	coding
MSTRG.591.1	0.99883	coding
MSTRG.592.1	0.98766	coding
MSTRG.593.1	0.39292	noncoding
MSTRG.594.1	0.21021	noncoding
MSTRG.594.2	0.20791	noncoding
MSTRG.600.1	0.47055	noncoding
MSTRG.601.1	0.90830	coding
MSTRG.603.1	0.22877	noncoding
MSTRG.605.1	0.21141	noncoding
MSTRG.606.1	0.38188	noncoding
MSTRG.606.2	0.25277	noncoding
MSTRG.607.1	0.51375	coding
MSTRG.614.1	0.59979	coding
MSTRG.614.2	0.58774	coding
MSTRG.614.3	0.44026	noncoding
MSTRG.614.4	0.68604	coding
MSTRG.614.5	0.67067	coding
MSTRG.614.6	0.28127	noncoding
MSTRG.618.1	0.07071	noncoding
MSTRG.617.1	0.16290	noncoding
MSTRG.621.1	0.99267	coding
MSTRG.623.1	0.52589	coding
MSTRG.629.1	0.07337	noncoding
MSTRG.632.1	0.10728	noncoding
MSTRG.632.2	0.13278	noncoding
MSTRG.636.1	0.83361	coding
MSTRG.638.1	0.93820	coding
MSTRG.638.2	0.95280	coding
MSTRG.638.3	0.86408	coding
MSTRG.638.4	0.93888	coding
MSTRG.638.5	0.95044	coding
MSTRG.639.1	0.89637	coding
MSTRG.638.6	0.94030	coding
MSTRG.638.7	0.95165	coding
MSTRG.638.8	0.92008	coding
MSTRG.638.9	0.79851	coding
MSTRG.638.10	0.94751	coding
MSTRG.639.2	0.91974	coding
MSTRG.646.1	0.78137	coding
MSTRG.646.2	0.80895	coding
MSTRG.650.1	0.98255	coding
MSTRG.655.1	0.30846	noncoding
MSTRG.659.1	0.43332	noncoding
MSTRG.665.1	0.07614	noncoding
MSTRG.671.1	0.33337	noncoding
MSTRG.676.1	0.16626	noncoding
MSTRG.682.1	0.60637	coding
MSTRG.686.1	0.19238	noncoding
MSTRG.688.1	0.11461	noncoding
MSTRG.694.1	0.99927	coding
MSTRG.695.1	0.39141	noncoding
MSTRG.695.2	0.70616	coding
MSTRG.695.3	0.61728	coding
MSTRG.695.4	0.34775	noncoding
MSTRG.695.5	0.33862	noncoding
MSTRG.695.6	0.59285	coding
MSTRG.695.7	0.10555	noncoding
MSTRG.700.1	0.08797	noncoding
MSTRG.700.2	0.35628	noncoding
MSTRG.700.3	0.10642	noncoding
MSTRG.699.2	0.83779	coding
MSTRG.701.1	0.05261	noncoding
MSTRG.703.1	0.94800	coding
MSTRG.703.2	0.97270	coding
MSTRG.704.1	0.98317	coding
MSTRG.704.2	0.90955	coding
MSTRG.708.1	0.36961	noncoding
MSTRG.707.1	0.99798	coding
MSTRG.709.1	0.04012	noncoding
MSTRG.713.1	0.99879	coding
MSTRG.721.1	0.99969	coding
MSTRG.722.1	0.99974	coding
MSTRG.730.1	0.37526	noncoding
MSTRG.731.1	0.40350	noncoding
MSTRG.731.2	0.54865	coding
MSTRG.731.3	0.43271	noncoding
MSTRG.731.4	0.30958	noncoding
MSTRG.735.1	0.70836	coding
MSTRG.735.2	0.81805	coding
MSTRG.735.3	0.04918	noncoding
MSTRG.735.4	0.03972	noncoding
MSTRG.735.5	0.03835	noncoding
MSTRG.736.1	0.87562	coding
MSTRG.736.2	0.88544	coding
MSTRG.736.3	0.89237	coding
MSTRG.736.4	0.91660	coding
MSTRG.741.1	0.30567	noncoding
MSTRG.743.1	0.44213	noncoding
MSTRG.744.1	0.83706	coding
MSTRG.749.1	0.96415	coding
MSTRG.750.1	0.63140	coding
MSTRG.751.3	0.83610	coding
MSTRG.751.1	0.98985	coding
MSTRG.751.2	0.90372	coding
MSTRG.752.1	0.28728	noncoding
MSTRG.752.2	0.38834	noncoding
MSTRG.752.3	0.46606	noncoding
MSTRG.755.1	0.03725	noncoding
MSTRG.756.3	0.20484	noncoding
MSTRG.757.1	0.80286	coding
MSTRG.757.2	0.77477	coding
MSTRG.757.3	0.85482	coding
MSTRG.756.6	0.99825	coding
MSTRG.756.7	0.99878	coding
MSTRG.756.8	0.99910	coding
MSTRG.756.9	0.99890	coding
MSTRG.764.1	0.89423	coding
MSTRG.767.1	0.99958	coding
MSTRG.771.1	0.65266	coding
MSTRG.774.1	0.58142	coding
MSTRG.776.1	0.44163	noncoding
MSTRG.777.1	0.99598	coding
MSTRG.779.1	0.99954	coding
MSTRG.780.1	0.28282	noncoding
MSTRG.785.1	0.89914	coding
MSTRG.785.2	0.90184	coding
MSTRG.785.3	0.72357	coding
MSTRG.785.4	0.41353	noncoding
MSTRG.785.5	0.94289	coding
MSTRG.785.6	0.92330	coding
MSTRG.791.1	0.26205	noncoding
MSTRG.791.2	0.67073	coding
MSTRG.802.1	0.36266	noncoding
MSTRG.802.2	0.42750	noncoding
MSTRG.805.1	0.25505	noncoding
MSTRG.808.1	0.95160	coding
MSTRG.809.1	0.60105	coding
MSTRG.814.1	0.16667	noncoding
MSTRG.819.1	0.15117	noncoding
MSTRG.820.1	0.98144	coding
MSTRG.822.1	0.99374	coding
MSTRG.822.2	0.76353	coding
MSTRG.822.3	0.98922	coding
MSTRG.826.1	0.99223	coding
MSTRG.827.1	0.95685	coding
MSTRG.830.1	0.76666	coding
MSTRG.830.2	0.72598	coding
MSTRG.837.1	0.40241	noncoding
MSTRG.856.1	0.23149	noncoding
MSTRG.861.1	0.99686	coding
MSTRG.865.1	0.80831	coding
MSTRG.865.2	0.93577	coding
MSTRG.874.4	0.02183	noncoding
MSTRG.874.5	0.11142	noncoding
MSTRG.877.1	0.53357	coding
MSTRG.880.1	0.98157	coding
MSTRG.881.1	0.71064	coding
MSTRG.891.1	0.89746	coding
MSTRG.892.1	0.69880	coding
MSTRG.893.1	0.02816	noncoding
MSTRG.892.2	0.52225	coding
MSTRG.894.1	0.34176	noncoding
MSTRG.895.1	0.55634	coding
MSTRG.896.1	0.11961	noncoding
MSTRG.898.1	0.06865	noncoding
MSTRG.900.1	0.86697	coding
MSTRG.901.1	0.43202	noncoding
MSTRG.906.1	0.17774	noncoding
MSTRG.908.1	0.57953	coding
MSTRG.921.1	0.51442	coding
MSTRG.924.1	0.45477	noncoding
MSTRG.926.1	0.21443	noncoding
MSTRG.927.4	0.99600	coding
MSTRG.928.1	0.60528	coding
MSTRG.928.2	0.66206	coding
MSTRG.929.1	0.07937	noncoding
MSTRG.937.1	0.82747	coding
MSTRG.946.1	0.99703	coding
MSTRG.946.2	0.99595	coding
MSTRG.951.1	0.72129	coding
MSTRG.953.1	0.82333	coding
MSTRG.953.2	0.83433	coding
MSTRG.953.3	0.80894	coding
MSTRG.956.1	0.72254	coding
MSTRG.957.1	0.78327	coding
MSTRG.968.1	0.89502	coding
MSTRG.968.2	0.92584	coding
MSTRG.974.1	0.48404	noncoding
MSTRG.977.1	0.68655	coding
MSTRG.977.2	0.79913	coding
MSTRG.987.1	0.70521	coding
MSTRG.987.2	0.67152	coding
MSTRG.987.3	0.67047	coding
MSTRG.987.4	0.55010	coding
MSTRG.987.5	0.63680	coding
MSTRG.987.6	0.60989	coding
MSTRG.987.7	0.37814	noncoding
MSTRG.988.1	0.64647	coding
MSTRG.988.2	0.62201	coding
MSTRG.987.8	0.56026	coding
MSTRG.987.9	0.43079	noncoding
MSTRG.987.10	0.56320	coding
MSTRG.987.11	0.37097	noncoding
MSTRG.987.12	0.56698	coding
MSTRG.987.13	0.92966	coding
MSTRG.986.26	0.99656	coding
MSTRG.989.1	0.69132	coding
MSTRG.991.1	0.13166	noncoding
MSTRG.992.1	0.24547	noncoding
MSTRG.992.2	0.24547	noncoding
MSTRG.995.1	0.38584	noncoding
MSTRG.995.2	0.36304	noncoding
MSTRG.995.3	0.75586	coding
MSTRG.1001.1	0.70938	coding
MSTRG.1004.1	0.70520	coding
MSTRG.1013.1	0.03930	noncoding
MSTRG.1022.1	0.89782	coding
MSTRG.1023.1	0.94717	coding
MSTRG.1029.1	0.27303	noncoding
MSTRG.1034.1	0.03222	noncoding
MSTRG.1035.1	0.98398	coding
MSTRG.1042.1	0.99060	coding
MSTRG.1042.2	0.99509	coding
MSTRG.1046.1	0.06344	noncoding
MSTRG.1052.1	0.81978	coding
MSTRG.1058.1	0.97179	coding
MSTRG.1056.10	0.49159	noncoding
MSTRG.1061.1	0.20640	noncoding
MSTRG.1069.1	0.87397	coding
MSTRG.1069.2	0.92530	coding
MSTRG.1070.1	0.83997	coding
MSTRG.1073.1	0.97252	coding
MSTRG.1074.1	0.65284	coding
MSTRG.1074.2	0.12579	noncoding
MSTRG.1076.1	0.71612	coding
MSTRG.1077.1	0.51145	coding
MSTRG.1088.1	0.79892	coding
MSTRG.1089.1	0.68429	coding
MSTRG.1089.2	0.72888	coding
MSTRG.1093.1	0.03210	noncoding
MSTRG.1094.1	0.11258	noncoding
MSTRG.1096.1	0.91560	coding
MSTRG.1097.1	0.98878	coding
MSTRG.1098.1	0.95570	coding
MSTRG.1110.1	0.18871	noncoding
MSTRG.1113.1	0.86304	coding
MSTRG.1114.1	0.90098	coding
MSTRG.1116.1	0.02124	noncoding
MSTRG.1125.1	0.68751	coding
MSTRG.1132.1	0.87214	coding
MSTRG.1133.1	0.33241	noncoding
MSTRG.1131.3	0.99759	coding
MSTRG.1133.2	0.43419	noncoding
MSTRG.1139.1	0.99558	coding
MSTRG.1140.1	0.81502	coding
MSTRG.1150.1	0.27075	noncoding
MSTRG.1150.2	0.15388	noncoding
MSTRG.1150.3	0.26941	noncoding
MSTRG.1150.4	0.39389	noncoding
MSTRG.1150.5	0.16855	noncoding
MSTRG.1151.1	0.20675	noncoding
MSTRG.1152.1	0.06603	noncoding
MSTRG.1153.1	0.99822	coding
MSTRG.1157.1	0.99986	coding
MSTRG.1157.2	0.26685	noncoding
MSTRG.1169.1	0.36464	noncoding
MSTRG.1180.1	0.98479	coding
MSTRG.1180.2	0.98552	coding
MSTRG.1187.1	0.61210	coding
MSTRG.1193.1	0.34973	noncoding
MSTRG.1195.1	0.80581	coding
MSTRG.1195.2	0.79966	coding
MSTRG.1195.3	0.81645	coding
MSTRG.1195.4	0.87382	coding
MSTRG.1195.5	0.93841	coding
MSTRG.1196.1	0.78861	coding
MSTRG.1197.1	0.36484	noncoding
MSTRG.1197.2	0.15680	noncoding
MSTRG.1197.3	0.11391	noncoding
MSTRG.1197.4	0.08988	noncoding
MSTRG.1197.5	0.81859	coding
MSTRG.1198.1	0.97714	coding
MSTRG.1204.1	0.06888	noncoding
MSTRG.1206.1	0.30066	noncoding
MSTRG.1207.1	0.85722	coding
MSTRG.1209.1	0.30238	noncoding
MSTRG.1210.1	0.68780	coding
MSTRG.1210.2	0.88864	coding
MSTRG.1211.1	0.97186	coding
MSTRG.1212.1	0.72539	coding
MSTRG.1217.1	0.99684	coding
MSTRG.1218.1	0.11742	noncoding
MSTRG.1233.1	0.60336	coding
MSTRG.1236.1	0.67785	coding
MSTRG.1237.1	0.03598	noncoding
MSTRG.1237.2	0.25504	noncoding
MSTRG.1237.3	0.05637	noncoding
MSTRG.1237.4	0.03577	noncoding
MSTRG.1240.1	0.89530	coding
MSTRG.1241.1	0.19835	noncoding
MSTRG.1242.1	0.80760	coding
MSTRG.1242.2	0.87301	coding
MSTRG.1242.3	0.87173	coding
MSTRG.1244.1	0.81609	coding
MSTRG.1245.1	0.19458	noncoding
MSTRG.1245.2	0.19479	noncoding
MSTRG.1248.1	0.99049	coding
MSTRG.1250.1	0.99655	coding
MSTRG.1258.1	0.02935	noncoding
MSTRG.1259.1	0.81074	coding
MSTRG.1259.2	0.70095	coding
MSTRG.1266.1	0.98648	coding
MSTRG.1270.1	0.36302	noncoding
MSTRG.1287.1	0.35684	noncoding
MSTRG.1288.1	0.24491	noncoding
MSTRG.1288.2	0.22238	noncoding
MSTRG.1299.1	0.03813	noncoding
MSTRG.1299.2	0.50298	coding
MSTRG.1324.1	0.99756	coding
MSTRG.1330.1	0.81261	coding
MSTRG.1332.1	0.93730	coding
MSTRG.1338.1	0.06758	noncoding
MSTRG.1346.1	0.62009	coding
MSTRG.1346.2	0.54341	coding
MSTRG.1346.3	0.65444	coding
MSTRG.1346.4	0.63203	coding
MSTRG.1353.1	0.82639	coding
MSTRG.1363.1	0.41633	noncoding
MSTRG.1366.1	0.20911	noncoding
MSTRG.1366.2	0.30136	noncoding
MSTRG.1367.1	0.58371	coding
MSTRG.1367.2	0.95362	coding
MSTRG.1368.1	0.19093	noncoding
MSTRG.1371.1	0.53943	coding
MSTRG.1374.1	0.11347	noncoding
MSTRG.1376.1	0.99779	coding
MSTRG.1376.2	0.99899	coding
MSTRG.1376.3	0.99868	coding
MSTRG.1376.4	0.99926	coding
MSTRG.1376.5	0.99877	coding
MSTRG.1376.6	0.99780	coding
MSTRG.1376.7	0.99921	coding
MSTRG.1376.8	0.99911	coding
MSTRG.1376.9	0.99932	coding
MSTRG.1376.10	0.99938	coding
MSTRG.1376.11	0.99903	coding
MSTRG.1377.1	0.99981	coding
MSTRG.1377.2	0.99988	coding
MSTRG.1377.3	0.99957	coding
MSTRG.1377.4	0.99964	coding
MSTRG.1378.1	0.04011	noncoding
MSTRG.1380.1	0.97872	coding
MSTRG.1382.7	0.69914	coding
MSTRG.1383.3	0.34344	noncoding
MSTRG.1392.1	0.99898	coding
MSTRG.1392.2	0.99608	coding
MSTRG.1393.1	0.73502	coding
MSTRG.1397.1	0.23757	noncoding
MSTRG.1398.1	0.98144	coding
MSTRG.1398.2	0.59543	coding
MSTRG.1398.3	0.62340	coding
MSTRG.1398.4	0.56684	coding
MSTRG.1398.5	0.58928	coding
MSTRG.1398.6	0.98826	coding
MSTRG.1398.7	0.58351	coding
MSTRG.1399.1	0.75091	coding
MSTRG.1403.1	0.82819	coding
MSTRG.1403.2	0.91712	coding
MSTRG.1405.1	0.80302	coding
MSTRG.1405.2	0.82570	coding
MSTRG.1408.1	0.47906	noncoding
MSTRG.1408.2	0.50900	coding
MSTRG.1415.1	0.99511	coding
MSTRG.1417.1	0.34316	noncoding
MSTRG.1427.1	0.99197	coding
MSTRG.1428.1	0.91446	coding
MSTRG.1429.1	0.59197	coding
MSTRG.1438.4	0.99900	coding
MSTRG.1438.5	0.99958	coding
MSTRG.1439.1	0.99856	coding
MSTRG.1440.1	0.99798	coding
MSTRG.1440.2	0.99942	coding
MSTRG.1445.1	0.49884	noncoding
MSTRG.1450.10	0.99942	coding
MSTRG.1450.9	0.99957	coding
MSTRG.1450.11	0.99894	coding
MSTRG.1451.1	0.39213	noncoding
MSTRG.1453.1	0.33665	noncoding
MSTRG.1455.1	0.29125	noncoding
MSTRG.1459.1	0.33599	noncoding
MSTRG.1460.1	0.92235	coding
MSTRG.1463.1	0.49847	noncoding
MSTRG.1464.1	0.64134	coding
MSTRG.1471.1	0.48186	noncoding
MSTRG.1471.2	0.68280	coding
MSTRG.1473.1	0.99542	coding
MSTRG.1474.1	0.04600	noncoding
MSTRG.1476.1	0.08016	noncoding
MSTRG.1476.2	0.06469	noncoding
MSTRG.1481.1	0.96612	coding
MSTRG.1482.1	0.73613	coding
MSTRG.1482.2	0.58398	coding
MSTRG.1483.1	0.89496	coding
MSTRG.1486.1	0.41372	noncoding
MSTRG.1489.1	0.18372	noncoding
MSTRG.1494.1	0.99755	coding
MSTRG.1494.2	0.52518	coding
MSTRG.1496.1	0.14047	noncoding
MSTRG.1496.2	0.36049	noncoding
MSTRG.1500.1	0.31438	noncoding
MSTRG.1506.1	0.14413	noncoding
MSTRG.1507.1	0.06938	noncoding
MSTRG.1517.1	0.05862	noncoding
MSTRG.1518.1	0.37599	noncoding
MSTRG.1519.1	0.25161	noncoding
MSTRG.1523.1	0.12901	noncoding
MSTRG.1528.1	0.66666	coding
MSTRG.1528.2	0.78554	coding
MSTRG.1529.1	0.45731	noncoding
MSTRG.1529.2	0.71658	coding
MSTRG.1529.3	0.55817	coding
MSTRG.1529.4	0.84132	coding
MSTRG.1530.1	0.07498	noncoding
MSTRG.1530.2	0.54268	coding
MSTRG.1530.3	0.73082	coding
MSTRG.1531.1	0.73414	coding
MSTRG.1533.1	0.08113	noncoding
MSTRG.1538.1	0.02063	noncoding
MSTRG.1540.1	0.94989	coding
MSTRG.1542.1	0.28921	noncoding
MSTRG.1543.1	0.99983	coding
MSTRG.1544.1	0.58198	coding
MSTRG.1545.1	0.35026	noncoding
MSTRG.1546.1	0.23225	noncoding
MSTRG.1549.1	0.04997	noncoding
MSTRG.1550.3	0.53316	coding
MSTRG.1551.1	0.93204	coding
MSTRG.1552.1	0.99899	coding
MSTRG.1553.1	0.94999	coding
MSTRG.1553.2	0.93589	coding
MSTRG.1556.1	0.65827	coding
MSTRG.1558.1	0.37014	noncoding
MSTRG.1560.1	0.54670	coding
MSTRG.1563.1	0.66749	coding
MSTRG.1563.2	0.50678	coding
MSTRG.1564.1	0.63561	coding
MSTRG.1567.1	0.39593	noncoding
MSTRG.1569.1	0.65191	coding
MSTRG.1569.2	0.79586	coding
MSTRG.1569.3	0.30518	noncoding
MSTRG.1569.4	0.39596	noncoding
MSTRG.1570.1	0.99878	coding
MSTRG.1572.1	0.71520	coding
MSTRG.1573.1	0.04062	noncoding
MSTRG.1575.1	0.90619	coding
MSTRG.1580.1	0.89656	coding
MSTRG.1600.1	0.99719	coding
MSTRG.1600.2	0.63810	coding
MSTRG.1600.3	0.99650	coding
MSTRG.1600.4	0.99500	coding
MSTRG.1600.5	0.11044	noncoding
MSTRG.1620.1	0.99557	coding
MSTRG.1623.1	0.98096	coding
MSTRG.1624.1	0.95684	coding
MSTRG.1628.1	0.99599	coding
MSTRG.1630.25	0.35920	noncoding
MSTRG.1638.1	0.99081	coding
MSTRG.1638.2	0.07546	noncoding
MSTRG.1646.1	0.99944	coding
MSTRG.1646.2	0.99817	coding
MSTRG.1646.3	0.98687	coding
MSTRG.1646.4	0.99844	coding
MSTRG.1646.5	0.98754	coding
MSTRG.1647.1	0.70315	coding
MSTRG.1647.2	0.73828	coding
MSTRG.1647.3	0.73409	coding
MSTRG.1648.1	0.88606	coding
MSTRG.1652.1	0.99107	coding
MSTRG.1656.1	0.16482	noncoding
MSTRG.1656.2	0.22399	noncoding
MSTRG.1656.3	0.17305	noncoding
MSTRG.1657.1	0.66050	coding
MSTRG.1659.1	0.09877	noncoding
MSTRG.1660.1	0.35045	noncoding
MSTRG.1660.2	0.18775	noncoding
MSTRG.1663.1	0.91505	coding
MSTRG.1663.2	0.84495	coding
MSTRG.1663.3	0.86349	coding
MSTRG.1663.4	0.59757	coding
MSTRG.1663.5	0.25503	noncoding
MSTRG.1672.1	0.95676	coding
MSTRG.1674.1	0.97827	coding
MSTRG.1680.1	0.99980	coding
MSTRG.1682.1	0.47288	noncoding
MSTRG.1682.2	0.57354	coding
MSTRG.1682.3	0.63797	coding
MSTRG.1683.1	0.01828	noncoding
MSTRG.1685.1	0.92191	coding
MSTRG.1687.1	0.60379	coding
MSTRG.1689.1	0.39349	noncoding
MSTRG.1696.1	0.36154	noncoding
MSTRG.1700.1	0.14138	noncoding
MSTRG.1701.1	0.84749	coding
MSTRG.1706.1	0.34331	noncoding
MSTRG.1706.2	0.70221	coding
MSTRG.1706.3	0.24811	noncoding
MSTRG.1706.4	0.23145	noncoding
MSTRG.1706.5	0.30637	noncoding
MSTRG.1706.6	0.31607	noncoding
MSTRG.1706.7	0.98254	coding
MSTRG.1706.8	0.18827	noncoding
MSTRG.1706.9	0.41744	noncoding
MSTRG.1706.10	0.42637	noncoding
MSTRG.1706.11	0.28788	noncoding
MSTRG.1706.12	0.45849	noncoding
MSTRG.1706.13	0.35520	noncoding
MSTRG.1706.14	0.19984	noncoding
MSTRG.1706.15	0.27093	noncoding
