sequence_name	coding_score	classification
MSTRG.6880.1_rev	0.02630	noncoding
MSTRG.6884.1_rev	0.42729	noncoding
MSTRG.7184.1_rev	0.03613	noncoding
MSTRG.7189.1_rev	0.03074	noncoding
MSTRG.7294.1_rev	0.20501	noncoding
MSTRG.7367.1_rev	0.08467	noncoding
MSTRG.7460.1_rev	0.07314	noncoding
MSTRG.7463.1_rev	0.20173	noncoding
MSTRG.7615.1_rev	0.14869	noncoding
MSTRG.7624.1_rev	0.02621	noncoding
MSTRG.7756.1_rev	0.79380	coding
MSTRG.7788.1_rev	0.03462	noncoding
MSTRG.7814.1_rev	0.10353	noncoding
MSTRG.7823.1_rev	0.77867	coding
MSTRG.8409.1_rev	0.06801	noncoding
MSTRG.8903.1_rev	0.37214	noncoding
MSTRG.9048.1_rev	0.08425	noncoding
MSTRG.9087.1_rev	0.38878	noncoding
MSTRG.9172.1_rev	0.91359	coding
MSTRG.9175.1_rev	0.10270	noncoding
MSTRG.9176.1_rev	0.39693	noncoding
MSTRG.9414.1_rev	0.99543	coding
MSTRG.9621.1_rev	0.07320	noncoding
MSTRG.9720.1_rev	0.67444	coding
MSTRG.9730.1_rev	0.60224	coding
MSTRG.9833.1_rev	0.05658	noncoding
MSTRG.9871.1_rev	0.57800	coding
MSTRG.9884.1_rev	0.07757	noncoding
MSTRG.9949.1_rev	0.27338	noncoding
MSTRG.9989.1_rev	0.10659	noncoding
MSTRG.10029.1_rev	0.20792	noncoding
MSTRG.10093.1_rev	0.07938	noncoding
MSTRG.10294.1_rev	0.04147	noncoding
MSTRG.10303.1_rev	0.05661	noncoding
MSTRG.10305.1_rev	0.05872	noncoding
MSTRG.10559.1_rev	0.50685	coding
MSTRG.10665.1_rev	0.50100	coding
MSTRG.10710.1_rev	0.05095	noncoding
MSTRG.10737.1_rev	0.54952	coding
MSTRG.10986.1_rev	0.01972	noncoding
MSTRG.11040.1_rev	0.04256	noncoding
MSTRG.11053.1_rev	0.20087	noncoding
MSTRG.11140.1_rev	0.06173	noncoding
MSTRG.11204.1_rev	0.27047	noncoding
MSTRG.11406.1_rev	0.02479	noncoding
MSTRG.11498.1_rev	0.21666	noncoding
MSTRG.11517.1_rev	0.39548	noncoding
MSTRG.11579.1_rev	0.56692	coding
MSTRG.11709.1_rev	0.33676	noncoding
MSTRG.11751.1_rev	0.32764	noncoding
MSTRG.11829.1_rev	0.84617	coding
MSTRG.12059.1_rev	0.04258	noncoding
MSTRG.12158.1_rev	0.25907	noncoding
MSTRG.12241.1_rev	0.03974	noncoding
MSTRG.12342.1_rev	0.17937	noncoding
MSTRG.12354.1_rev	0.03080	noncoding
MSTRG.12410.1_rev	0.13248	noncoding
MSTRG.12469.1_rev	0.93420	coding
MSTRG.12724.1_rev	0.42337	noncoding
MSTRG.12881.1_rev	0.01515	noncoding
MSTRG.12930.1_rev	0.29685	noncoding
MSTRG.13072.1_rev	0.68276	coding
MSTRG.13128.1_rev	0.81372	coding
MSTRG.13273.1_rev	0.13380	noncoding
MSTRG.13356.1_rev	0.38488	noncoding
MSTRG.13616.1_rev	0.14611	noncoding
MSTRG.13728.1_rev	0.22506	noncoding
MSTRG.14141.1_rev	0.99899	coding
MSTRG.14204.1_rev	0.08022	noncoding
MSTRG.14235.1_rev	0.44955	noncoding
MSTRG.14385.1_rev	0.03882	noncoding
MSTRG.14487.1_rev	0.11552	noncoding
MSTRG.14507.1_rev	0.23561	noncoding
MSTRG.14649.1_rev	0.49214	noncoding
MSTRG.14733.1_rev	0.08087	noncoding
MSTRG.14819.1_rev	0.11976	noncoding
MSTRG.14868.1_rev	0.43501	noncoding
MSTRG.14965.1_rev	0.05879	noncoding
MSTRG.14998.1_rev	0.12437	noncoding
MSTRG.15160.1_rev	0.02603	noncoding
MSTRG.15299.1_rev	0.03916	noncoding
MSTRG.15302.1_rev	0.07979	noncoding
MSTRG.15633.1_rev	0.29206	noncoding
MSTRG.15921.1_rev	0.08283	noncoding
MSTRG.16071.1_rev	0.01598	noncoding
MSTRG.16136.1_rev	0.86702	coding
MSTRG.16336.1_rev	0.02206	noncoding
MSTRG.16510.1_rev	0.71679	coding
MSTRG.16698.1_rev	0.02660	noncoding
MSTRG.16781.1_rev	0.03974	noncoding
MSTRG.16897.1_rev	0.04419	noncoding
MSTRG.17054.1_rev	0.03792	noncoding
MSTRG.17064.1_rev	0.09062	noncoding
MSTRG.17144.1_rev	0.73631	coding
MSTRG.17166.1_rev	0.59772	coding
MSTRG.17184.1_rev	0.81856	coding
MSTRG.17401.1_rev	0.13626	noncoding
MSTRG.17555.1_rev	0.04819	noncoding
MSTRG.17688.1_rev	0.25159	noncoding
MSTRG.17748.1_rev	0.04006	noncoding
MSTRG.17809.1_rev	0.12595	noncoding
MSTRG.17839.1_rev	0.11990	noncoding
MSTRG.17844.1_rev	0.83644	coding
MSTRG.17880.1_rev	0.03979	noncoding
MSTRG.17915.1_rev	0.73175	coding
MSTRG.18066.1_rev	0.20303	noncoding
MSTRG.18261.1_rev	0.07234	noncoding
MSTRG.18506.1_rev	0.04717	noncoding
MSTRG.18531.1_rev	0.06261	noncoding
MSTRG.18920.1_rev	0.07346	noncoding
MSTRG.18971.1_rev	0.44225	noncoding
MSTRG.19242.1_rev	0.30534	noncoding
MSTRG.19358.1_rev	0.05902	noncoding
MSTRG.19743.1_rev	0.43244	noncoding
MSTRG.19744.1_rev	0.06243	noncoding
MSTRG.19790.1_rev	0.28531	noncoding
MSTRG.19978.1_rev	0.08796	noncoding
MSTRG.20051.1_rev	0.93741	coding
MSTRG.20097.1_rev	0.49142	noncoding
MSTRG.20689.1_rev	0.05345	noncoding
MSTRG.20700.1_rev	0.32329	noncoding
MSTRG.21318.1_rev	0.06932	noncoding
MSTRG.21352.1_rev	0.17630	noncoding
MSTRG.21409.1_rev	0.06040	noncoding
MSTRG.21542.1_rev	0.02992	noncoding
MSTRG.21631.1_rev	0.52775	coding
MSTRG.21909.1_rev	0.48014	noncoding
MSTRG.21933.1_rev	0.02114	noncoding
MSTRG.22017.1_rev	0.03591	noncoding
MSTRG.22177.1_rev	0.01970	noncoding
MSTRG.22199.1_rev	0.22752	noncoding
MSTRG.22216.1_rev	0.11711	noncoding
MSTRG.22275.1_rev	0.42610	noncoding
MSTRG.22474.1_rev	0.10125	noncoding
MSTRG.22529.1_rev	0.21143	noncoding
MSTRG.22544.1_rev	0.89563	coding
MSTRG.22547.1_rev	0.24741	noncoding
MSTRG.22575.1_rev	0.02617	noncoding
MSTRG.22657.1_rev	0.32699	noncoding
MSTRG.22721.1_rev	0.02099	noncoding
MSTRG.22723.1_rev	0.03003	noncoding
MSTRG.22777.1_rev	0.18771	noncoding
MSTRG.23085.1_rev	0.22023	noncoding
MSTRG.23116.1_rev	0.08270	noncoding
MSTRG.23207.1_rev	0.18972	noncoding
MSTRG.23317.1_rev	0.49618	noncoding
MSTRG.23401.1_rev	0.58255	coding
MSTRG.23406.1_rev	0.74087	coding
MSTRG.23460.1_rev	0.04668	noncoding
MSTRG.23545.1_rev	0.46314	noncoding
MSTRG.23683.1_rev	0.05796	noncoding
MSTRG.23777.1_rev	0.07937	noncoding
MSTRG.23799.1_rev	0.04337	noncoding
MSTRG.23952.1_rev	0.08096	noncoding
MSTRG.24014.1_rev	0.44325	noncoding
MSTRG.24024.1_rev	0.04566	noncoding
MSTRG.24072.1_rev	0.03516	noncoding
MSTRG.24135.1_rev	0.01523	noncoding
MSTRG.24155.1_rev	0.18496	noncoding
MSTRG.24167.1_rev	0.04263	noncoding
MSTRG.24236.1_rev	0.21649	noncoding
MSTRG.24281.1_rev	0.05840	noncoding
MSTRG.24394.1_rev	0.08745	noncoding
MSTRG.24396.1_rev	0.06216	noncoding
MSTRG.24450.1_rev	0.80650	coding
MSTRG.24455.1_rev	0.03396	noncoding
MSTRG.24483.1_rev	0.30748	noncoding
MSTRG.24550.1_rev	0.06591	noncoding
MSTRG.24608.1_rev	0.20764	noncoding
MSTRG.24632.1_rev	0.19606	noncoding
MSTRG.24638.1_rev	0.02197	noncoding
MSTRG.25104.1_rev	0.13543	noncoding
MSTRG.25404.1_rev	0.05118	noncoding
MSTRG.25608.1_rev	0.16230	noncoding
MSTRG.25642.1_rev	0.33134	noncoding
MSTRG.25688.1_rev	0.09623	noncoding
MSTRG.25733.1_rev	0.24997	noncoding
MSTRG.25790.1_rev	0.53875	coding
MSTRG.26013.1_rev	0.03578	noncoding
MSTRG.26375.1_rev	0.57040	coding
MSTRG.26378.1_rev	0.32377	noncoding
MSTRG.26395.1_rev	0.53302	coding
MSTRG.26411.1_rev	0.30149	noncoding
MSTRG.26475.1_rev	0.42012	noncoding
MSTRG.26545.1_rev	0.09088	noncoding
MSTRG.26546.1_rev	0.05373	noncoding
MSTRG.26570.1_rev	0.16697	noncoding
MSTRG.26571.1_rev	0.16491	noncoding
MSTRG.26590.1_rev	0.10687	noncoding
MSTRG.26745.1_rev	0.09239	noncoding
MSTRG.26889.1_rev	0.09157	noncoding
MSTRG.26929.1_rev	0.45770	noncoding
MSTRG.26945.1_rev	0.19744	noncoding
MSTRG.26950.1_rev	0.15316	noncoding
MSTRG.27008.1_rev	0.02217	noncoding
MSTRG.27255.1_rev	0.07940	noncoding
MSTRG.27350.1_rev	0.02680	noncoding
MSTRG.27460.1_rev	0.04789	noncoding
MSTRG.27646.1_rev	0.11657	noncoding
MSTRG.27681.1_rev	0.10119	noncoding
MSTRG.27823.1_rev	0.54011	coding
MSTRG.27849.1_rev	0.06079	noncoding
MSTRG.27889.1_rev	0.13492	noncoding
MSTRG.28027.1_rev	0.83432	coding
MSTRG.28039.1_rev	0.08569	noncoding
MSTRG.28241.1_rev	0.98744	coding
MSTRG.28263.1_rev	0.15559	noncoding
MSTRG.28339.1_rev	0.23197	noncoding
MSTRG.28434.1_rev	0.14844	noncoding
MSTRG.28450.1_rev	0.05787	noncoding
MSTRG.28596.1_rev	0.12368	noncoding
MSTRG.28728.1_rev	0.33325	noncoding
MSTRG.29027.1_rev	0.18013	noncoding
MSTRG.29080.1_rev	0.15142	noncoding
MSTRG.29160.1_rev	0.61920	coding
MSTRG.29464.1_rev	0.06897	noncoding
MSTRG.29482.1_rev	0.11785	noncoding
MSTRG.29518.1_rev	0.04116	noncoding
MSTRG.29549.1_rev	0.30778	noncoding
MSTRG.29658.1_rev	0.53247	coding
MSTRG.29684.1_rev	0.50391	coding
MSTRG.29711.1_rev	0.23284	noncoding
MSTRG.29837.1_rev	0.34501	noncoding
MSTRG.29866.1_rev	0.06127	noncoding
MSTRG.29983.1_rev	0.16590	noncoding
MSTRG.30051.1_rev	0.58468	coding
MSTRG.30168.1_rev	0.12569	noncoding
MSTRG.30329.1_rev	0.07194	noncoding
MSTRG.30348.1_rev	0.02976	noncoding
MSTRG.30520.1_rev	0.94311	coding
MSTRG.30722.1_rev	0.05691	noncoding
MSTRG.30862.1_rev	0.10287	noncoding
MSTRG.30872.1_rev	0.14149	noncoding
MSTRG.30879.1_rev	0.53315	coding
MSTRG.30909.1_rev	0.05533	noncoding
MSTRG.31263.1_rev	0.11819	noncoding
MSTRG.31272.1_rev	0.56092	coding
MSTRG.31367.1_rev	0.12211	noncoding
MSTRG.31517.1_rev	0.15999	noncoding
MSTRG.31518.1_rev	0.01253	noncoding
MSTRG.31547.1_rev	0.17679	noncoding
MSTRG.31695.1_rev	0.05780	noncoding
MSTRG.31715.1_rev	0.07691	noncoding
MSTRG.31734.1_rev	0.25437	noncoding
MSTRG.31798.1_rev	0.99909	coding
MSTRG.31811.1_rev	0.25308	noncoding
MSTRG.32109.1_rev	0.32120	noncoding
MSTRG.32233.1_rev	0.30131	noncoding
MSTRG.32329.1_rev	0.10858	noncoding
MSTRG.32685.1_rev	0.63925	coding
MSTRG.32796.1_rev	0.07454	noncoding
MSTRG.32881.1_rev	0.09207	noncoding
MSTRG.32962.1_rev	0.13498	noncoding
MSTRG.33008.1_rev	0.13108	noncoding
MSTRG.33027.1_rev	0.03376	noncoding
MSTRG.33233.1_rev	0.05139	noncoding
MSTRG.33254.1_rev	0.09194	noncoding
MSTRG.33334.1_rev	0.96000	coding
MSTRG.33570.1_rev	0.21231	noncoding
MSTRG.33754.1_rev	0.23650	noncoding
MSTRG.34411.1_rev	0.16154	noncoding
MSTRG.34653.1_rev	0.22993	noncoding
MSTRG.34656.1_rev	0.45648	noncoding
MSTRG.34821.1_rev	0.22031	noncoding
MSTRG.34824.1_rev	0.55490	coding
MSTRG.34895.1_rev	0.23947	noncoding
MSTRG.34904.1_rev	0.86287	coding
MSTRG.34969.1_rev	0.06879	noncoding
MSTRG.35009.1_rev	0.15412	noncoding
MSTRG.35142.1_rev	0.17228	noncoding
MSTRG.35240.1_rev	0.03578	noncoding
MSTRG.35277.1_rev	0.06177	noncoding
MSTRG.35297.1_rev	0.15743	noncoding
MSTRG.35365.1_rev	0.58077	coding
MSTRG.35382.1_rev	0.91738	coding
MSTRG.35553.1_rev	0.28309	noncoding
MSTRG.35671.1_rev	0.15882	noncoding
MSTRG.35816.1_rev	0.18317	noncoding
MSTRG.36020.1_rev	0.04245	noncoding
MSTRG.36052.1_rev	0.75259	coding
MSTRG.36067.1_rev	0.12353	noncoding
MSTRG.36281.1_rev	0.01910	noncoding
MSTRG.36715.1_rev	0.57833	coding
MSTRG.36893.1_rev	0.98570	coding
MSTRG.36896.1_rev	0.05977	noncoding
MSTRG.37288.1_rev	0.76850	coding
MSTRG.37293.1_rev	0.08405	noncoding
MSTRG.37313.1_rev	0.18792	noncoding
MSTRG.37367.1_rev	0.79004	coding
MSTRG.37833.1_rev	0.96106	coding
MSTRG.37995.1_rev	0.05162	noncoding
MSTRG.38052.1_rev	0.23650	noncoding
MSTRG.38114.1_rev	0.99868	coding
MSTRG.38172.1_rev	0.00779	noncoding
MSTRG.38462.1_rev	0.41494	noncoding
MSTRG.38886.1_rev	0.11193	noncoding
MSTRG.38900.1_rev	0.28781	noncoding
MSTRG.38964.1_rev	0.05047	noncoding
MSTRG.39302.1_rev	0.06407	noncoding
MSTRG.39317.1_rev	0.26918	noncoding
MSTRG.39521.1_rev	0.06368	noncoding
MSTRG.39562.1_rev	0.81631	coding
MSTRG.39900.1_rev	0.03740	noncoding
MSTRG.39933.1_rev	0.03126	noncoding
MSTRG.40045.1_rev	0.64190	coding
MSTRG.40199.1_rev	0.05414	noncoding
MSTRG.40203.1_rev	0.25720	noncoding
MSTRG.40504.1_rev	0.06566	noncoding
MSTRG.40550.1_rev	0.95518	coding
MSTRG.40556.1_rev	0.10924	noncoding
MSTRG.40603.1_rev	0.74863	coding
MSTRG.40634.1_rev	0.24583	noncoding
MSTRG.40931.1_rev	0.62551	coding
MSTRG.40999.1_rev	0.13449	noncoding
MSTRG.41102.1_rev	0.16631	noncoding
MSTRG.41232.1_rev	0.06529	noncoding
MSTRG.41401.1_rev	0.04683	noncoding
MSTRG.41447.1_rev	0.14993	noncoding
MSTRG.41818.1_rev	0.97352	coding
MSTRG.42043.1_rev	0.06579	noncoding
MSTRG.42118.1_rev	0.19655	noncoding
MSTRG.42176.1_rev	0.09337	noncoding
MSTRG.42201.1_rev	0.12988	noncoding
MSTRG.42256.1_rev	0.20981	noncoding
MSTRG.42330.1_rev	0.11457	noncoding
MSTRG.42394.1_rev	0.34105	noncoding
MSTRG.42422.1_rev	0.14709	noncoding
MSTRG.42596.1_rev	0.12026	noncoding
MSTRG.42719.1_rev	0.30894	noncoding
MSTRG.42724.1_rev	0.07400	noncoding
MSTRG.42755.1_rev	0.41906	noncoding
MSTRG.42884.1_rev	0.94409	coding
MSTRG.43024.1_rev	0.91224	coding
MSTRG.43339.1_rev	0.11373	noncoding
MSTRG.43424.1_rev	0.07016	noncoding
MSTRG.43448.1_rev	0.08301	noncoding
MSTRG.43539.1_rev	0.38883	noncoding
MSTRG.43580.1_rev	0.78670	coding
MSTRG.43623.1_rev	0.17117	noncoding
MSTRG.43752.1_rev	0.06230	noncoding
MSTRG.43795.1_rev	0.41053	noncoding
MSTRG.43915.1_rev	0.74641	coding
MSTRG.43932.1_rev	0.44400	noncoding
MSTRG.44021.1_rev	0.45859	noncoding
MSTRG.44022.1_rev	0.78427	coding
MSTRG.44045.1_rev	0.70177	coding
MSTRG.44101.1_rev	0.16189	noncoding
MSTRG.44116.1_rev	0.50658	coding
MSTRG.44131.1_rev	0.16383	noncoding
MSTRG.44188.1_rev	0.38977	noncoding
MSTRG.44189.1_rev	0.06631	noncoding
MSTRG.44279.1_rev	0.75938	coding
MSTRG.44285.1_rev	0.16677	noncoding
MSTRG.44429.1_rev	0.20490	noncoding
MSTRG.44518.1_rev	0.58510	coding
MSTRG.44586.1_rev	0.95673	coding
MSTRG.44736.1_rev	0.16824	noncoding
MSTRG.44835.1_rev	0.30871	noncoding
MSTRG.45145.1_rev	0.16375	noncoding
MSTRG.45170.1_rev	0.28363	noncoding
MSTRG.45412.1_rev	0.92654	coding
MSTRG.45576.1_rev	0.18404	noncoding
MSTRG.45698.1_rev	0.99797	coding
MSTRG.45795.1_rev	0.50349	coding
MSTRG.45861.1_rev	0.07801	noncoding
MSTRG.45909.1_rev	0.13283	noncoding
MSTRG.45925.1_rev	0.96979	coding
MSTRG.45973.1_rev	0.99490	coding
MSTRG.45977.1_rev	0.36901	noncoding
MSTRG.45988.1_rev	0.06148	noncoding
MSTRG.46137.1_rev	0.01167	noncoding
MSTRG.46168.1_rev	0.32253	noncoding
MSTRG.46199.1_rev	0.20978	noncoding
MSTRG.46424.1_rev	0.42395	noncoding
MSTRG.46753.1_rev	0.59840	coding
MSTRG.46764.1_rev	0.38942	noncoding
MSTRG.46898.1_rev	0.08464	noncoding
MSTRG.46936.1_rev	0.10786	noncoding
MSTRG.47156.1_rev	0.17824	noncoding
MSTRG.47197.1_rev	0.15183	noncoding
MSTRG.47220.1_rev	0.39288	noncoding
MSTRG.47310.1_rev	0.32148	noncoding
MSTRG.47323.1_rev	0.97306	coding
MSTRG.47387.1_rev	0.99975	coding
MSTRG.47469.1_rev	0.16569	noncoding
MSTRG.47524.1_rev	0.12477	noncoding
MSTRG.47534.1_rev	0.14529	noncoding
MSTRG.47546.1_rev	0.75215	coding
MSTRG.47552.1_rev	0.12210	noncoding
MSTRG.47565.1_rev	0.87507	coding
MSTRG.47592.1_rev	0.32100	noncoding
MSTRG.47694.1_rev	0.45210	noncoding
MSTRG.47949.1_rev	0.07649	noncoding
MSTRG.48088.1_rev	0.86771	coding
MSTRG.48417.1_rev	0.06677	noncoding
MSTRG.48509.1_rev	0.06443	noncoding
MSTRG.48611.1_rev	0.15748	noncoding
MSTRG.48624.1_rev	0.12947	noncoding
MSTRG.48625.1_rev	0.21207	noncoding
MSTRG.48727.1_rev	0.03524	noncoding
MSTRG.48798.1_rev	0.27069	noncoding
MSTRG.48913.1_rev	0.03167	noncoding
MSTRG.48974.1_rev	0.09248	noncoding
MSTRG.48999.1_rev	0.04684	noncoding
MSTRG.49166.1_rev	0.28501	noncoding
MSTRG.49231.1_rev	0.50677	coding
MSTRG.49241.1_rev	0.99285	coding
MSTRG.49536.1_rev	0.06461	noncoding
MSTRG.49565.1_rev	0.54277	coding
MSTRG.49744.1_rev	0.98915	coding
MSTRG.49943.1_rev	0.12274	noncoding
MSTRG.50121.1_rev	0.20087	noncoding
MSTRG.50188.1_rev	0.04125	noncoding
MSTRG.50532.1_rev	0.55548	coding
MSTRG.50617.1_rev	0.09219	noncoding
MSTRG.50771.1_rev	0.93090	coding
MSTRG.50858.1_rev	0.10456	noncoding
MSTRG.51093.1_rev	0.24576	noncoding
MSTRG.51134.1_rev	0.14507	noncoding
MSTRG.51420.1_rev	0.07680	noncoding
MSTRG.51459.1_rev	0.07138	noncoding
MSTRG.51575.1_rev	0.08901	noncoding
MSTRG.51576.1_rev	0.13478	noncoding
MSTRG.51594.1_rev	0.17250	noncoding
MSTRG.51630.1_rev	0.33597	noncoding
MSTRG.51648.1_rev	0.02606	noncoding
MSTRG.51780.1_rev	0.15708	noncoding
MSTRG.51875.1_rev	0.15795	noncoding
MSTRG.52161.1_rev	0.26540	noncoding
MSTRG.52503.1_rev	0.80785	coding
MSTRG.52545.1_rev	0.14283	noncoding
MSTRG.52576.1_rev	0.04165	noncoding
MSTRG.52674.1_rev	0.28867	noncoding
MSTRG.52834.1_rev	0.08848	noncoding
MSTRG.52847.1_rev	0.88281	coding
MSTRG.52926.1_rev	0.08804	noncoding
MSTRG.52944.1_rev	0.44844	noncoding
MSTRG.52946.1_rev	0.99815	coding
MSTRG.53082.1_rev	0.28369	noncoding
MSTRG.53146.1_rev	0.52720	coding
MSTRG.53241.1_rev	0.27068	noncoding
MSTRG.53247.1_rev	0.07585	noncoding
MSTRG.53290.1_rev	0.21207	noncoding
MSTRG.53508.1_rev	0.43622	noncoding
MSTRG.53514.1_rev	0.05323	noncoding
MSTRG.53608.1_rev	0.33510	noncoding
MSTRG.53613.1_rev	0.06797	noncoding
MSTRG.53718.1_rev	0.08171	noncoding
MSTRG.53891.1_rev	0.13628	noncoding
MSTRG.54107.1_rev	0.41374	noncoding
MSTRG.54194.1_rev	0.05899	noncoding
MSTRG.54324.1_rev	0.85694	coding
MSTRG.54564.1_rev	0.06988	noncoding
MSTRG.54585.1_rev	0.77787	coding
MSTRG.54621.1_rev	0.05863	noncoding
MSTRG.54676.1_rev	0.83689	coding
MSTRG.54758.1_rev	0.12221	noncoding
MSTRG.54871.1_rev	0.57036	coding
MSTRG.54936.1_rev	0.06126	noncoding
MSTRG.54987.1_rev	0.17333	noncoding
MSTRG.55328.1_rev	0.05975	noncoding
MSTRG.55733.1_rev	0.57342	coding
MSTRG.55754.1_rev	0.02618	noncoding
MSTRG.56109.1_rev	0.99459	coding
MSTRG.56119.1_rev	0.36754	noncoding
MSTRG.56164.1_rev	0.34913	noncoding
MSTRG.56188.1_rev	0.13095	noncoding
MSTRG.56190.1_rev	0.18963	noncoding
MSTRG.56262.1_rev	0.38881	noncoding
MSTRG.56501.1_rev	0.09328	noncoding
MSTRG.56612.1_rev	0.99735	coding
MSTRG.57098.1_rev	0.05745	noncoding
MSTRG.57099.1_rev	0.43278	noncoding
MSTRG.57146.1_rev	0.35858	noncoding
MSTRG.57202.1_rev	0.07842	noncoding
MSTRG.57268.1_rev	0.05759	noncoding
MSTRG.57714.1_rev	0.11529	noncoding
MSTRG.57733.1_rev	0.19622	noncoding
MSTRG.58163.1_rev	0.16640	noncoding
MSTRG.58178.1_rev	0.14406	noncoding
MSTRG.58183.1_rev	0.07439	noncoding
MSTRG.58192.1_rev	0.13716	noncoding
MSTRG.58205.1_rev	0.35895	noncoding
MSTRG.58214.1_rev	0.26267	noncoding
MSTRG.58243.1_rev	0.15632	noncoding
MSTRG.58307.1_rev	0.02728	noncoding
MSTRG.58323.1_rev	0.93336	coding
MSTRG.58324.1_rev	0.20098	noncoding
MSTRG.58420.1_rev	0.25003	noncoding
MSTRG.58569.1_rev	0.23180	noncoding
MSTRG.58592.1_rev	0.01132	noncoding
MSTRG.58966.1_rev	0.37854	noncoding
MSTRG.59433.1_rev	0.09081	noncoding
MSTRG.59516.1_rev	0.97368	coding
MSTRG.59906.1_rev	0.44520	noncoding
MSTRG.60162.1_rev	0.98973	coding
MSTRG.60173.1_rev	0.29971	noncoding
MSTRG.60196.1_rev	0.37509	noncoding
MSTRG.60591.1_rev	0.13930	noncoding
MSTRG.60625.1_rev	0.05880	noncoding
MSTRG.60704.1_rev	0.16471	noncoding
MSTRG.60716.1_rev	0.03592	noncoding
MSTRG.60740.1_rev	0.15128	noncoding
MSTRG.60743.1_rev	0.75685	coding
MSTRG.61398.1_rev	0.76696	coding
MSTRG.61407.1_rev	0.05582	noncoding
MSTRG.61498.1_rev	0.05447	noncoding
MSTRG.61500.1_rev	0.02372	noncoding
